Precinct	total_votes	votes|Gabe Beukinga	votes|Walter Burnett, Jr.
27001	142	53	89
27002	252	68	184
27003	115	30	85
27004	108	31	77
27005	153	40	113
27006	166	58	108
27007	214	92	122
27008	158	31	127
27009	94	53	41
27010	259	41	218
27011	136	43	93
27012	109	52	57
27013	324	59	265
27014	104	17	87
27015	135	30	105
27016	150	70	80
27017	201	42	159
27018	171	34	137
27019	141	38	103
27020	133	26	107
27021	153	73	80
27022	128	18	110
27023	172	24	148
27024	141	36	105
27025	170	43	127
27026	200	45	155
27027	192	32	160
27028	113	29	84
27029	146	37	109
27030	123	21	102
27031	159	38	121
27032	155	31	124
27033	155	55	100
27034	205	31	174
27035	159	59	100
27036	136	33	103
27037	251	56	195
27038	331	74	257
27039	169	41	128
27040	223	62	161
27041	218	55	163
27042	138	38	100
27043	154	55	99
27044	165	21	144
27045	198	109	89
27046	129	34	95
27047	200	43	157
27048	235	49	186
27049	127	20	107
27050	175	31	144
