Precinct	total_votes	votes|Scott Waguespack	votes|Elise Doody-Jones
32001	172	124	48
32002	159	135	24
32003	273	195	78
32004	206	190	16
32005	206	183	23
32006	156	122	34
32007	190	154	36
32008	157	127	30
32009	199	166	33
32010	184	144	40
32011	213	153	60
32012	190	128	62
32013	162	124	38
32014	188	133	55
32015	186	164	22
32016	204	162	42
32017	225	168	57
32018	162	137	25
32019	161	121	40
32020	248	158	90
32021	236	200	36
32022	254	188	66
32023	202	171	31
32024	96	79	17
32025	178	142	36
32026	241	194	47
32027	185	149	36
32028	226	161	65
32029	227	186	41
32030	148	114	34
32031	176	144	32
32032	195	170	25
32033	178	138	40
32034	178	145	33
32035	167	139	28
32036	173	145	28
32037	147	109	38
32038	159	118	41
32039	156	129	27
32040	207	178	29
32041	186	152	34
32042	179	141	38
32043	203	145	58
