Precinct	total_votes	votes|Pat Dowell	votes|Patricia Horton
03001	289	183	106
03002	421	356	65
03003	276	224	52
03004	287	215	72
03005	190	133	57
03006	246	187	59
03007	265	206	59
03008	189	132	57
03009	289	203	86
03010	151	105	46
03011	245	160	85
03012	326	252	74
03013	295	262	33
03014	183	131	52
03015	232	138	94
03016	233	154	79
03017	242	173	69
03018	330	246	84
03019	204	151	53
03020	256	188	68
03021	264	194	70
03022	215	163	52
03023	237	152	85
03024	244	161	83
03025	263	198	65
03026	330	258	72
03027	210	154	56
03028	244	206	38
03029	272	164	108
03030	285	199	86
03031	294	217	77
03032	232	170	62
03033	174	129	45
03034	274	193	81
03035	118	75	43
03036	136	69	67
03037	213	165	48
03038	308	241	67
03039	190	143	47
03040	286	189	97
03041	271	202	69
