Precinct	total_votes	votes|Yes	votes|No
10001	214	178	36
10002	302	257	45
10003	300	255	45
10004	170	140	30
10005	247	209	38
10006	221	186	35
10007	187	157	30
10008	113	91	22
10009	318	272	46
10010	329	285	44
10011	317	281	36
10012	181	160	21
10013	271	238	33
10014	403	345	58
10015	439	380	59
10016	193	163	30
10017	411	353	58
10018	131	114	17
10019	321	271	50
10020	320	278	42
10021	296	257	39
10022	144	125	19
10023	269	249	20
10024	336	285	51
10025	74	60	14
10026	157	118	39
10027	201	165	36
10028	336	288	48
10029	238	204	34
10030	234	208	26
10031	201	174	27
10032	272	240	32
10033	189	162	27
10034	139	107	32
10035	363	320	43
10036	61	52	9
