Precinct	total_votes	votes|John A. Pope	votes|Susan Sadlowski Garza
10001	249	124	125
10002	380	201	179
10003	368	238	130
10004	254	102	152
10005	306	187	119
10006	301	186	115
10007	232	101	131
10008	163	65	98
10009	399	246	153
10010	381	178	203
10011	473	196	277
10012	248	115	133
10013	366	185	181
10014	496	213	283
10015	545	325	220
10016	281	174	107
10017	496	330	166
10018	194	92	102
10019	417	198	219
10020	411	174	237
10021	386	193	193
10022	191	91	100
10023	338	140	198
10024	413	269	144
10025	94	52	42
10026	262	132	130
10027	279	143	136
10028	425	137	288
10029	340	142	198
10030	323	121	202
10031	256	99	157
10032	364	149	215
10033	251	106	145
10034	207	109	98
10035	455	253	202
10036	86	39	47
