Precinct	total_votes	votes|John K. Kozlar	votes|Patrick Daley Thompson
11001	383	144	239
11002	37	13	24
11003	255	170	85
11004	355	141	214
11005	416	210	206
11006	308	141	167
11007	236	78	158
11008	357	151	206
11009	333	132	201
11010	368	142	226
11011	408	185	223
11012	625	422	203
11013	556	348	208
11014	255	82	173
11015	169	53	116
11016	295	130	165
11017	387	186	201
11018	355	140	215
11019	432	207	225
11020	307	108	199
11021	584	168	416
11022	488	243	245
11023	277	90	187
11024	508	110	398
11025	405	161	244
11026	510	191	319
11027	158	56	102
11028	211	114	97
11029	500	180	320
11030	228	50	178
11031	439	241	198
11032	240	60	180
11033	282	114	168
11034	161	50	111
11035	154	37	117
11036	181	50	131
11037	136	32	104
11038	146	86	60
