Precinct	total_votes	votes|Raymond A. Lopez	votes|Rafael Yanez
15001	334	136	198
15002	166	132	34
15003	177	146	31
15004	337	179	158
15005	268	81	187
15006	304	174	130
15007	220	183	37
15008	332	238	94
15009	382	240	142
15010	361	165	196
15011	333	169	164
15012	386	197	189
15013	250	69	181
15014	224	58	166
15015	223	73	150
15016	304	198	106
15017	223	143	80
15018	191	165	26
15019	255	120	135
15020	173	134	39
15021	182	149	33
15022	195	156	39
15023	204	155	49
15024	178	136	42
