Precinct	total_votes	votes|Deborah L. Graham	votes|Chris Taliaferro
29001	386	131	255
29002	392	244	148
29003	295	182	113
29004	315	192	123
29005	251	121	130
29006	231	157	74
29007	302	87	215
29008	168	111	57
29009	371	116	255
29010	440	107	333
29011	175	84	91
29012	357	141	216
29013	299	153	146
29014	298	170	128
29015	360	162	198
29016	295	214	81
29017	269	185	84
29018	263	160	103
29019	308	147	161
29020	369	248	121
29021	276	182	94
29022	213	128	85
29023	317	66	251
29024	258	154	104
29025	342	187	155
29026	299	159	140
29027	252	136	116
29028	351	175	176
29029	291	63	228
29030	380	190	190
29031	278	71	207
29032	262	38	224
29033	249	159	90
29034	198	129	69
29035	184	120	64
29036	270	144	126
29037	276	127	149
29038	243	78	165
29039	272	78	194
29040	330	162	168
29041	249	136	113
29042	279	173	106
29043	383	120	263
29044	368	175	193
