Precinct	total_votes	votes|Milagros Santiago	votes|Regner ''Ray'' Suarez
31001	201	110	91
31002	175	86	89
31003	236	123	113
31004	231	131	100
31005	220	142	78
31006	213	79	134
31007	218	146	72
31008	151	93	58
31009	248	177	71
31010	180	101	79
31011	182	99	83
31012	180	103	77
31013	231	115	116
31014	195	117	78
31015	175	87	88
31016	237	139	98
31017	222	125	97
31018	203	96	107
31019	184	80	104
31020	202	72	130
31021	186	72	114
31022	174	102	72
31023	193	114	79
31024	222	86	136
31025	187	89	98
31026	229	110	119
31027	249	85	164
31028	173	84	89
31029	247	86	161
31030	169	90	79
31031	208	99	109
31032	173	78	95
31033	199	91	108
31034	201	115	86
31035	242	122	120
31036	243	95	148
31037	188	60	128
31038	208	104	104
31039	185	102	83
31040	204	122	82
31041	193	91	102
