Precinct	total_votes	votes|James Cappleman	votes|Amy Crawford
46001	307	163	144
46002	322	169	153
46003	440	208	232
46004	364	243	121
46005	287	139	148
46006	313	177	136
46007	477	285	192
46008	277	133	144
46009	320	198	122
46010	316	141	175
46011	319	153	166
46012	314	149	165
46013	310	188	122
46014	409	225	184
46015	337	205	132
46016	350	214	136
46017	418	235	183
46018	288	139	149
46019	253	134	119
46020	341	137	204
46021	222	126	96
46022	285	61	224
46023	278	150	128
46024	363	192	171
46025	339	162	177
46026	274	172	102
46027	321	182	139
46028	406	252	154
46029	296	190	106
46030	324	155	169
46031	279	124	155
46032	396	213	183
46033	349	192	157
46034	341	205	136
46035	404	221	183
46036	347	174	173
46037	243	143	100
46038	283	154	129
46039	298	153	145
46040	290	179	111
