Precinct	total_votes	votes|Mark Spognardi	votes|Melissa Conyears
01008	454	88	366
01011	138	35	103
01012	649	146	503
01021	66	14	52
01032	109	34	75
01033	29	9	20
01037	165	66	99
02001	444	105	339
02006	597	125	472
02007	571	150	421
02008	712	181	531
02015	488	115	373
02017	581	140	441
02020	602	220	382
02025	681	166	515
24017	73	1	72
24019	488	17	471
24020	288	13	275
24032	226	10	216
24041	281	13	268
26004	92	7	85
26017	339	114	225
26019	101	5	96
26028	432	93	339
26046	289	83	206
27001	690	232	458
27003	297	15	282
27004	279	21	258
27005	345	16	329
27008	398	20	378
27010	93	2	91
27011	413	164	249
27013	413	31	382
27014	213	11	202
27015	330	14	316
27016	186	62	124
27017	499	38	461
27019	306	22	284
27022	263	12	251
27023	359	13	346
27024	324	13	311
27025	313	47	266
27026	362	24	338
27027	581	59	522
27029	369	16	353
27030	248	11	237
27031	379	17	362
27032	400	38	362
27033	304	54	250
27034	422	11	411
27035	547	184	363
27036	360	34	326
27037	11	1	10
27039	317	19	298
27040	569	154	415
27043	365	23	342
27044	366	15	351
27045	46	19	27
27049	360	13	347
27050	442	15	427
28001	25	2	23
28002	391	21	370
28003	363	16	347
28007	473	15	458
28009	415	11	404
28013	392	13	379
28015	140	7	133
28016	300	10	290
28017	397	11	386
28020	410	17	393
28021	358	12	346
28022	364	18	346
28023	534	18	516
28024	372	13	359
28025	520	28	492
28026	500	13	487
28030	68	4	64
28032	429	17	412
28033	496	17	479
28036	243	7	236
28037	564	14	550
28038	195	7	188
28040	546	21	525
28042	178	3	175
28044	320	5	315
29006	12	1	11
32002	676	244	432
32004	579	173	406
32005	580	131	449
32006	667	198	469
32029	486	114	372
32031	634	226	408
32032	602	181	421
32033	308	91	217
32034	566	160	406
32035	605	188	417
32036	611	186	425
32037	262	74	188
37002	358	15	343
37003	364	20	344
37004	395	24	371
37007	306	20	286
37008	359	14	345
37012	124	8	116
37013	345	13	332
37014	20	0	20
37019	398	10	388
37020	5	0	5
37021	400	25	375
37022	11	0	11
37027	4	0	4
37028	407	22	385
37030	187	4	183
43005	256	117	139
43007	397	156	241
43010	725	329	396
43011	607	297	310
43023	456	160	296
