Precinct	total_votes	votes|Gene Witt	votes|Sara Feigenholtz
02028	710	252	458
02030	537	202	335
02031	773	281	492
02033	903	308	595
02035	831	313	518
02037	555	157	398
02038	233	102	131
02044	412	152	260
27009	1	0	1
27012	373	129	244
27046	367	129	238
43004	864	333	531
43008	517	156	361
43012	454	138	316
43013	631	160	471
43014	624	210	414
43015	708	245	463
43019	699	234	465
43025	503	130	373
43026	415	102	313
43027	627	204	423
43028	812	257	555
43032	712	213	499
43033	672	247	425
43034	460	145	315
43036	383	124	259
43038	549	223	326
43042	616	156	460
43043	685	265	420
44001	1071	198	873
44003	413	90	323
44004	621	129	492
44005	742	127	615
44006	861	167	694
44007	491	164	327
44008	883	194	689
44010	682	197	485
44011	264	75	189
44012	735	154	581
44013	584	174	410
44014	626	146	480
44015	632	136	496
44017	878	149	729
44018	698	184	514
44019	811	162	649
44020	710	135	575
44021	802	150	652
44022	705	157	548
44023	695	140	555
44024	512	107	405
44025	49	15	34
44026	777	163	614
44027	764	189	575
44028	706	131	575
44029	780	221	559
44031	619	155	464
44032	799	228	571
44033	695	102	593
44034	708	136	572
44035	781	188	593
44036	716	166	550
44037	741	135	606
44038	696	209	487
44039	692	222	470
44040	672	241	431
44041	866	177	689
46003	749	143	606
46005	783	185	598
46007	668	138	530
46009	664	100	564
46010	1039	181	858
46011	620	143	477
46013	631	99	532
46015	670	116	554
46017	681	134	547
46018	691	147	544
46019	436	76	360
46024	685	126	559
46026	304	37	267
46027	783	134	649
46028	616	112	504
46029	483	85	398
46030	654	72	582
46031	674	87	587
46033	718	127	591
46034	743	104	639
46035	742	94	648
46036	601	119	482
46038	671	99	572
46039	610	123	487
