Precinct	total_votes	votes|Jonathan Edelman	votes|John C. D'Amico
33002	342	62	280
33007	130	18	112
35030	4	0	4
39001	496	229	267
39002	382	137	245
39004	475	195	280
39005	518	154	364
39006	505	121	384
39007	440	89	351
39008	586	83	503
39009	533	106	427
39010	248	35	213
39011	480	116	364
39012	272	50	222
39013	422	129	293
39014	484	121	363
39015	576	230	346
39016	473	89	384
39017	515	147	368
39018	479	139	340
39019	491	128	363
39024	7	4	3
39025	61	9	52
39026	498	169	329
39027	91	43	48
39029	278	42	236
39030	429	102	327
39031	60	11	49
39032	449	154	295
39033	614	154	460
39035	488	174	314
39036	153	33	120
39037	498	205	293
39038	281	93	188
39039	324	121	203
39040	461	154	307
39041	548	203	345
39042	550	234	316
39043	539	219	320
39044	409	244	165
39045	476	219	257
41006	606	307	299
41009	540	210	330
41014	602	291	311
41019	585	342	243
41032	435	181	254
41039	573	270	303
41047	538	226	312
45032	114	37	77
50024	392	215	177
50025	55	27	28
