Precinct	total_votes	votes|Andy Kirchoff	votes|Elizabeth ''Lisa'' Hernandez
12016	14	1	13
22003	613	31	582
22004	212	10	202
22005	442	23	419
22006	444	35	409
22007	275	18	257
22009	402	22	380
22010	9	0	9
22011	395	25	370
22013	180	16	164
22015	78	6	72
22016	27	3	24
22017	401	31	370
22018	196	12	184
22020	430	28	402
22024	525	37	488
22025	436	18	418
Berwyn Ward 1 Precinct 1	437	138	299
Berwyn Ward 1 Precinct 2	515	135	380
Berwyn Ward 1 Precinct 3	754	175	579
Berwyn Ward 1 Precinct 4	444	166	278
Berwyn Ward 1 Precinct 5	438	147	291
Berwyn Ward 2 Precinct 1	333	93	240
Berwyn Ward 2 Precinct 2	560	135	425
Berwyn Ward 2 Precinct 3	715	187	528
Berwyn Ward 2 Precinct 4	964	265	699
Berwyn Ward 3 Precinct 1	398	99	299
Berwyn Ward 3 Precinct 2	412	118	294
Berwyn Ward 3 Precinct 4	601	154	447
Berwyn Ward 3 Precinct 5	728	231	497
Berwyn Ward 4 Precinct 1	388	81	307
Berwyn Ward 4 Precinct 2	622	136	486
Berwyn Ward 4 Precinct 3	778	180	598
Berwyn Ward 4 Precinct 4	402	95	307
Berwyn Ward 5 Precinct 1	905	145	760
Berwyn Ward 5 Precinct 3	472	72	400
Berwyn Ward 6 Precinct 1	321	61	260
Berwyn Ward 6 Precinct 2	412	66	346
Berwyn Ward 6 Precinct 4	666	107	559
Cicero 5	687	112	575
Cicero 7	445	36	409
Cicero 10	731	71	660
Cicero 11	617	97	520
Cicero 12	487	85	402
Cicero 13	153	35	118
Cicero 14	517	75	442
Cicero 19	803	104	699
Cicero 21	606	86	520
Cicero 22	481	43	438
Cicero 25	542	71	471
Cicero 26	430	44	386
Cicero 27	246	33	213
Cicero 29	577	47	530
Cicero 32	486	43	443
Lyons 2	523	231	292
Lyons 45	894	381	513
Proviso 27	722	308	414
Riverside 1	358	173	185
Riverside 5	465	162	303
Riverside 11	616	306	310
Stickney 17	318	124	194
