Precinct	total_votes	votes|Dan Gott	votes|Martin J. Moylan
41028	603	203	400
41029	454	173	281
41042	9	2	7
Elk Grove 3	756	301	455
Elk Grove 4	693	227	466
Elk Grove 9	630	322	308
Elk Grove 12	431	261	170
Elk Grove 13	614	248	366
Elk Grove 15	546	214	332
Elk Grove 17	614	230	384
Elk Grove 18	850	338	512
Elk Grove 20	712	297	415
Elk Grove 24	598	234	364
Elk Grove 29	621	313	308
Elk Grove 31	422	126	296
Elk Grove 32	458	184	274
Elk Grove 33	418	184	234
Elk Grove 36	444	102	342
Elk Grove 37	471	178	293
Elk Grove 38	466	100	366
Elk Grove 40	569	225	344
Elk Grove 42	579	172	407
Elk Grove 43	551	250	301
Elk Grove 45	579	316	263
Elk Grove 47	782	373	409
Elk Grove 49	805	279	526
Elk Grove 51	887	496	391
Leyden 23	1059	546	513
Maine 3	358	148	210
Maine 6	943	323	620
Maine 7	497	168	329
Maine 8	736	281	455
Maine 9	996	331	665
Maine 10	473	180	293
Maine 11	448	199	249
Maine 12	445	157	288
Maine 13	634	256	378
Maine 14	821	271	550
Maine 16	465	166	299
Maine 17	659	238	421
Maine 18	558	176	382
Maine 20	361	152	209
Maine 21	852	416	436
Maine 22	817	407	410
Maine 24	853	375	478
Maine 25	712	325	387
Maine 26	533	206	327
Maine 34	789	294	495
Maine 35	546	168	378
Maine 36	622	309	313
Maine 37	675	393	282
Maine 38	530	213	317
Maine 42	918	460	458
Maine 47	680	201	479
Maine 48	759	259	500
Maine 50	570	292	278
Maine 53	593	179	414
Maine 54	662	319	343
Maine 56	813	257	556
Maine 61	386	128	258
Maine 65	472	243	229
Maine 67	930	523	407
Maine 68	455	170	285
Maine 79	655	153	502
Maine 80	555	261	294
Maine 86	538	149	389
Maine 87	405	196	209
Norwood Park 3	727	313	414
Norwood Park 11	906	428	478
Norwood Park 14	560	234	326
