Precinct	total_votes	votes|Mel Thillens	votes|Laura Murphy
41028	608	210	398
41029	462	190	272
41042	9	6	3
Elk Grove 2	529	193	336
Elk Grove 3	754	350	404
Elk Grove 4	692	257	435
Elk Grove 9	627	344	283
Elk Grove 12	440	279	161
Elk Grove 13	617	260	357
Elk Grove 15	551	249	302
Elk Grove 17	622	258	364
Elk Grove 18	853	414	439
Elk Grove 20	706	361	345
Elk Grove 24	603	277	326
Elk Grove 29	630	338	292
Elk Grove 31	422	143	279
Elk Grove 32	477	179	298
Elk Grove 33	421	210	211
Elk Grove 36	446	113	333
Elk Grove 37	466	222	244
Elk Grove 38	469	98	371
Elk Grove 40	574	224	350
Elk Grove 42	589	187	402
Elk Grove 43	561	278	283
Elk Grove 45	586	338	248
Elk Grove 47	790	422	368
Elk Grove 49	810	304	506
Elk Grove 51	903	518	385
Leyden 23	1094	648	446
Maine 3	361	161	200
Maine 6	950	339	611
Maine 7	487	181	306
Maine 8	734	348	386
Maine 9	995	361	634
Maine 10	477	190	287
Maine 11	451	224	227
Maine 12	445	192	253
Maine 13	637	288	349
Maine 14	823	339	484
Maine 16	462	188	274
Maine 17	654	268	386
Maine 18	558	205	353
Maine 20	361	170	191
Maine 21	863	485	378
Maine 22	829	461	368
Maine 24	862	456	406
Maine 25	727	374	353
Maine 26	541	234	307
Maine 34	778	286	492
Maine 35	544	171	373
Maine 36	628	340	288
Maine 37	694	457	237
Maine 38	519	218	301
Maine 42	927	537	390
Maine 47	678	224	454
Maine 48	759	290	469
Maine 50	583	329	254
Maine 53	583	201	382
Maine 54	670	365	305
Maine 56	821	322	499
Maine 61	385	161	224
Maine 65	481	286	195
Maine 67	944	620	324
Maine 68	457	177	280
Maine 79	647	173	474
Maine 80	561	281	280
Maine 86	543	157	386
Maine 87	412	225	187
Norwood Park 3	731	388	343
Norwood Park 11	924	504	420
Norwood Park 14	560	287	273
Palatine 11	618	290	328
Palatine 62	535	194	341
Schaumburg 2	1049	339	710
Schaumburg 3	674	320	354
Schaumburg 5	421	242	179
Schaumburg 6	616	283	333
Schaumburg 7	508	137	371
Schaumburg 8	553	214	339
Schaumburg 9	529	177	352
Schaumburg 11	605	316	289
Schaumburg 12	38	15	23
Schaumburg 13	500	245	255
Schaumburg 14	728	399	329
Schaumburg 16	845	359	486
Schaumburg 17	724	392	332
Schaumburg 21	890	458	432
Schaumburg 22	334	92	242
Schaumburg 23	729	310	419
Schaumburg 24	782	366	416
Schaumburg 25	722	296	426
Schaumburg 26	763	304	459
Schaumburg 29	754	367	387
Schaumburg 30	609	309	300
Schaumburg 32	826	374	452
Schaumburg 33	548	276	272
Schaumburg 37	456	219	237
Schaumburg 39	944	444	500
Schaumburg 40	630	350	280
Schaumburg 41	639	300	339
Schaumburg 46	503	204	299
Schaumburg 47	625	328	297
Schaumburg 48	566	258	308
Schaumburg 50	499	284	215
Schaumburg 52	883	468	415
Schaumburg 53	647	322	325
Schaumburg 54	832	423	409
Schaumburg 55	597	308	289
Schaumburg 56	708	356	352
Schaumburg 57	877	471	406
Schaumburg 59	856	493	363
Schaumburg 61	953	423	530
Schaumburg 62	739	257	482
Schaumburg 63	569	310	259
Schaumburg 64	592	298	294
Schaumburg 65	531	247	284
Schaumburg 66	604	334	270
Schaumburg 67	640	305	335
Schaumburg 68	548	269	279
Schaumburg 69	531	281	250
Schaumburg 70	538	334	204
Schaumburg 72	649	283	366
Schaumburg 73	794	391	403
Schaumburg 74	533	289	244
Schaumburg 75	558	330	228
Schaumburg 76	618	327	291
