Precinct	total_votes	votes|Jeffrey A. Leef	votes|Danny K. Davis
01012	682	137	545
01014	173	27	146
01015	122	16	106
01032	167	41	126
02002	505	167	338
02009	572	235	337
02010	549	224	325
02011	638	262	376
02012	327	31	296
02013	581	182	399
02014	539	106	433
02017	696	137	559
02018	630	206	424
02019	438	166	272
02020	359	112	247
02021	16	3	13
02023	426	176	250
02027	597	236	361
02028	309	133	176
02029	699	262	437
02032	578	201	377
02034	523	196	327
02035	837	324	513
02036	511	168	343
02038	466	208	258
02039	446	199	247
02040	755	265	490
02041	684	265	419
02042	714	238	476
02043	883	344	539
02045	603	164	439
02046	382	146	236
03001	699	16	683
03002	610	16	594
03003	508	51	457
03004	322	7	315
03005	436	15	421
03006	726	219	507
03008	589	14	575
03009	578	16	562
03010	336	9	327
03011	598	18	580
03012	494	8	486
03013	710	189	521
03014	650	135	515
03015	621	15	606
03016	577	17	560
03017	741	108	633
03018	601	31	570
03019	702	231	471
03020	613	18	595
03021	667	155	512
03022	834	199	635
03023	446	14	432
03024	528	24	504
03025	989	306	683
03026	699	167	532
03027	765	223	542
03028	358	11	347
03029	672	23	649
03030	304	10	294
03031	706	14	692
03032	713	142	571
03033	750	182	568
03034	767	161	606
03035	24	1	23
03036	371	5	366
03037	538	13	525
03039	812	204	608
03040	676	74	602
04002	759	198	561
04004	731	18	713
04005	572	23	549
04006	685	44	641
04007	690	18	672
04008	162	0	162
04010	656	33	623
04011	413	11	402
04013	700	122	578
04014	104	2	102
04015	186	14	172
04016	895	191	704
04017	813	147	666
04020	532	121	411
04021	836	156	680
04022	74	6	68
04025	705	166	539
04028	390	21	369
04029	214	3	211
04030	107	2	105
04034	545	14	531
04035	701	20	681
04036	354	9	345
04037	974	201	773
06021	294	2	292
11002	78	12	66
11006	752	187	565
11007	890	139	751
11014	258	88	170
11030	261	86	175
11033	615	173	442
11034	159	57	102
11035	107	30	77
11036	231	54	177
11037	151	33	118
12010	84	3	81
12015	239	23	216
12018	163	15	148
15002	331	7	324
15003	333	12	321
15007	359	7	352
15013	55	7	48
15014	63	4	59
15016	14	0	14
15017	346	13	333
15018	361	11	350
15020	303	4	299
15021	306	4	302
15022	385	7	378
15023	398	7	391
15024	386	10	376
16002	435	9	426
16003	371	10	361
16004	402	15	387
16005	352	8	344
16006	396	8	388
16007	367	18	349
16008	301	16	285
16009	31	1	30
16010	383	19	364
16011	411	20	391
16012	366	12	354
16013	454	31	423
16014	377	15	362
16015	428	15	413
16016	391	7	384
16017	467	31	436
16018	395	21	374
16019	384	20	364
16020	361	8	353
16021	358	9	349
16022	392	10	382
16023	115	8	107
16024	241	10	231
16025	437	16	421
16026	357	12	345
16027	362	8	354
16029	385	9	376
16031	325	13	312
16033	380	6	374
16034	277	5	272
16035	345	15	330
16036	311	8	303
17006	200	7	193
17007	436	31	405
17008	50	1	49
17012	545	35	510
17013	420	14	406
17014	484	25	459
17016	103	12	91
17019	311	13	298
17025	16	0	16
17031	325	9	316
17033	210	11	199
17035	72	0	72
17036	71	3	68
20002	224	13	211
20004	178	6	172
20006	253	12	241
20011	77	1	76
20015	446	41	405
20017	309	26	283
20020	411	35	376
20021	413	16	397
20025	401	17	384
20027	102	5	97
20030	241	10	231
20031	416	10	406
20032	497	13	484
20036	191	4	187
20037	5	0	5
20038	205	5	200
20039	60	0	60
22014	215	25	190
22015	15	0	15
22019	262	7	255
22021	522	15	507
23017	134	18	116
23019	122	9	113
23031	45	4	41
24001	396	8	388
24002	451	8	443
24003	488	14	474
24004	364	7	357
24005	294	11	283
24006	437	8	429
24007	258	22	236
24008	205	8	197
24009	470	16	454
24010	213	3	210
24011	524	12	512
24012	293	10	283
24013	284	10	274
24014	433	13	420
24015	287	9	278
24016	83	3	80
24017	352	9	343
24018	434	11	423
24019	525	6	519
24020	384	10	374
24021	237	4	233
24022	603	16	587
24023	444	20	424
24024	592	19	573
24025	342	7	335
24026	577	6	571
24027	463	7	456
24028	327	2	325
24029	299	8	291
24030	251	1	250
24031	498	14	484
24032	258	7	251
24033	268	6	262
24034	416	13	403
24035	421	7	414
24036	524	20	504
24037	285	6	279
24038	337	15	322
24039	484	25	459
24040	486	12	474
24041	319	4	315
25003	737	218	519
25004	552	69	483
25006	164	44	120
25010	854	287	567
25014	276	56	220
25016	804	297	507
25018	314	57	257
25020	461	18	443
25021	928	211	717
25025	564	154	410
25027	722	191	531
25029	510	38	472
25031	977	356	621
26001	241	25	216
26003	479	88	391
26004	313	23	290
26010	302	30	272
26017	346	117	229
26019	297	24	273
26021	526	43	483
26027	192	22	170
26028	269	52	217
26033	368	36	332
26036	402	60	342
26039	257	38	219
26045	61	7	54
26046	298	72	226
27001	720	229	491
27002	564	129	435
27003	326	14	312
27004	288	25	263
27005	367	13	354
27006	512	99	413
27008	437	20	417
27009	277	93	184
27010	515	23	492
27011	598	190	408
27013	518	28	490
27014	311	9	302
27015	368	6	362
27016	635	194	441
27017	517	31	486
27018	382	23	359
27019	333	20	313
27020	458	15	443
27021	532	188	344
27022	291	15	276
27023	388	5	383
27024	393	20	373
27025	447	44	403
27026	389	17	372
27027	608	51	557
27028	251	50	201
27029	397	17	380
27030	264	12	252
27031	412	21	391
27032	434	30	404
27033	520	117	403
27034	455	9	446
27035	530	167	363
27036	374	27	347
27037	550	122	428
27038	748	139	609
27039	333	23	310
27040	597	144	453
27041	457	8	449
27042	125	2	123
27043	392	19	373
27044	407	9	398
27045	997	312	685
27047	368	38	330
27048	850	128	722
27049	377	10	367
27050	487	13	474
28001	414	11	403
28002	418	15	403
28003	401	8	393
28004	386	98	288
28005	220	8	212
28006	220	35	185
28007	506	11	495
28008	478	136	342
28009	440	10	430
28010	569	97	472
28011	870	103	767
28012	481	11	470
28013	428	15	413
28014	424	10	414
28015	156	2	154
28016	313	10	303
28017	424	9	415
28018	337	12	325
28019	383	54	329
28020	444	18	426
28021	387	8	379
28022	403	20	383
28023	582	17	565
28024	408	15	393
28025	546	20	526
28026	532	13	519
28027	457	125	332
28028	513	125	388
28029	253	8	245
28030	71	2	69
28031	569	13	556
28032	478	9	469
28033	537	12	525
28034	868	37	831
28035	539	10	529
28036	265	5	260
28037	606	21	585
28038	216	1	215
28039	359	12	347
28040	575	17	558
28041	351	10	341
28042	530	10	520
28043	597	10	587
28044	335	10	325
28045	495	126	369
28046	788	150	638
29001	570	118	452
29002	730	25	705
29003	605	19	586
29004	587	15	572
29005	498	11	487
29006	461	24	437
29007	484	56	428
29008	504	12	492
29009	7	2	5
29010	596	111	485
29011	319	11	308
29012	614	29	585
29013	575	22	553
29014	500	11	489
29015	589	25	564
29016	565	11	554
29017	500	12	488
29018	535	17	518
29019	561	17	544
29020	660	13	647
29021	709	24	685
29022	411	21	390
29024	484	22	462
29025	579	12	567
29026	524	26	498
29027	455	14	441
29028	647	11	636
29033	361	15	346
29034	324	38	286
29035	401	6	395
29036	437	16	421
29037	480	17	463
29040	584	14	570
29041	452	10	442
29042	579	17	562
29043	365	37	328
29044	643	33	610
36005	457	66	391
36021	104	13	91
37001	386	27	359
37002	372	23	349
37003	400	6	394
37004	425	23	402
37005	484	16	468
37006	488	16	472
37007	341	14	327
37008	395	13	382
37009	544	11	533
37010	549	41	508
37011	413	8	405
37012	383	29	354
37013	379	19	360
37014	521	11	510
37015	508	20	488
37016	517	22	495
37017	447	9	438
37018	458	19	439
37019	427	13	414
37020	423	7	416
37021	443	27	416
37022	436	24	412
37023	461	12	449
37024	507	20	487
37025	459	16	443
37026	500	21	479
37027	508	16	492
37028	426	22	404
37029	492	15	477
37030	468	7	461
37031	520	12	508
37032	456	14	442
37033	567	12	555
37034	479	13	466
37035	490	10	480
37036	492	10	482
37037	561	18	543
37038	512	11	501
37039	474	10	464
37040	508	9	499
37041	465	27	438
42001	601	220	381
42002	754	258	496
42003	715	212	503
42004	1196	421	775
42005	545	195	350
42006	631	206	425
42007	781	302	479
42008	597	169	428
42009	741	217	524
42010	842	266	576
42011	460	207	253
42012	550	206	344
42013	546	205	341
42014	823	348	475
42015	595	260	335
42016	682	225	457
42017	946	373	573
42018	850	328	522
42019	848	332	516
42020	732	300	432
42021	682	220	462
42022	386	173	213
42023	730	321	409
42024	670	251	419
42025	745	303	442
42026	808	275	533
42027	474	153	321
42028	763	259	504
42029	716	283	433
42030	552	243	309
42031	851	333	518
42032	734	339	395
42033	741	177	564
42034	595	262	333
42035	905	264	641
42036	1096	411	685
42037	505	206	299
42038	641	240	401
42039	788	288	500
42040	916	313	603
42041	692	206	486
42042	1073	316	757
43001	354	105	249
43005	109	42	67
43009	87	35	52
43033	661	277	384
43035	740	286	454
43045	394	125	269
Berwyn Ward 6 Precinct 2	400	69	331
Berwyn Ward 6 Precinct 3	227	25	202
Berwyn Ward 6 Precinct 4	163	30	133
Berwyn Ward 7 Precinct 1	521	94	427
Berwyn Ward 7 Precinct 2	505	82	423
Berwyn Ward 7 Precinct 3	659	148	511
Berwyn Ward 7 Precinct 4	676	112	564
Berwyn Ward 8 Precinct 1	910	199	711
Berwyn Ward 8 Precinct 2	2	0	2
Oak Park 1	600	74	526
Oak Park 2	976	269	707
Oak Park 3	1,042	188	854
Oak Park 4	930	286	644
Oak Park 5	907	250	657
Oak Park 6	1,006	168	838
Oak Park 7	621	150	471
Oak Park 8	780	87	693
Oak Park 9	538	91	447
Oak Park 10	777	154	623
Oak Park 11	759	123	636
Oak Park 12	435	107	328
Oak Park 13	819	101	718
Oak Park 14	882	245	637
Oak Park 15	1,024	132	892
Oak Park 16	1,145	252	893
Oak Park 17	1,157	240	917
Oak Park 18	702	209	493
Oak Park 19	842	150	692
Oak Park 20	1,100	257	843
Oak Park 21	606	80	526
Oak Park 22	549	95	454
Oak Park 23	768	184	584
Oak Park 24	603	178	425
Oak Park 25	734	125	609
Oak Park 26	695	106	589
Oak Park 27	264	60	204
Oak Park 28	1,043	192	851
Oak Park 29	716	144	572
Oak Park 30	956	129	827
Oak Park 31	1,229	240	989
Oak Park 32	559	74	485
Oak Park 33	738	96	642
Oak Park 34	694	139	555
Oak Park 35	984	243	741
Oak Park 36	956	217	739
Oak Park 37	530	101	429
Proviso 1	553	95	458
Proviso 2	542	73	469
Proviso 3	357	71	286
Proviso 4	689	21	668
Proviso 5	654	22	632
Proviso 8	419	62	357
Proviso 9	541	27	514
Proviso 17	410	20	390
Proviso 18	808	43	765
Proviso 19	704	28	676
Proviso 20	535	17	518
Proviso 21	493	192	301
Proviso 22	504	18	486
Proviso 30	658	97	561
Proviso 31	389	10	379
Proviso 33	702	28	674
Proviso 34	1,007	65	942
Proviso 36	690	25	665
Proviso 37	438	10	428
Proviso 38	602	38	564
Proviso 39	764	111	653
Proviso 40	610	19	591
Proviso 41	552	26	526
Proviso 42	412	13	399
Proviso 43	439	8	431
Proviso 44	472	24	448
Proviso 45	630	19	611
Proviso 47	387	15	372
Proviso 48	753	61	692
Proviso 49	473	57	416
Proviso 50	954	216	738
Proviso 51	714	245	469
Proviso 52	511	21	490
Proviso 53	694	19	675
Proviso 56	492	28	464
Proviso 58	420	27	393
Proviso 59	531	111	420
Proviso 60	463	71	392
Proviso 61	712	132	580
Proviso 62	746	168	578
Proviso 63	23	12	11
Proviso 64	619	29	590
Proviso 65	516	77	439
Proviso 66	761	196	565
Proviso 67	867	193	674
Proviso 68	404	163	241
Proviso 69	558	16	542
Proviso 71	351	89	262
Proviso 72	554	127	427
Proviso 73	582	146	436
Proviso 74	607	137	470
Proviso 76	735	149	586
Proviso 79	504	28	476
Proviso 81	504	103	401
Proviso 82	871	32	839
Proviso 83	760	24	736
Proviso 85	319	141	178
Proviso 86	640	16	624
Proviso 91	552	113	439
Proviso 92	835	301	534
Proviso 94	521	22	499
Proviso 99	649	30	619
Proviso 101	590	202	388
Proviso 102	440	134	306
River Forest 2	696	394	302
River Forest 3	740	311	429
River Forest 4	823	366	457
River Forest 5	538	229	309
River Forest 6	524	264	260
River Forest 7	737	312	425
River Forest 8	954	374	580
Riverside 13	64	16	48
