Precinct	total_votes	votes|Jhatayn 'Jay' Travis	votes|Christian L. Mitchell
02002	177	69	108
02010	188	71	117
02011	201	73	128
02013	233	96	137
02018	236	111	125
02019	153	48	105
02023	144	41	103
02027	134	45	89
02029	152	45	107
02034	197	70	127
02042	102	42	60
03002	29	12	17
03004	418	227	191
03011	176	89	87
03012	147	88	59
03019	287	110	177
03021	43	11	32
03027	160	71	89
03030	365	188	177
03031	266	110	156
04003	398	180	218
04004	571	250	321
04006	122	53	69
04007	488	275	213
04008	492	247	245
04011	360	182	178
04012	470	234	236
04015	91	45	46
04018	385	214	171
04019	421	164	257
04023	130	63	67
04024	389	179	210
04026	417	190	227
04028	372	157	215
04029	401	198	203
04030	546	272	274
04032	442	215	227
04033	463	246	217
04034	273	103	170
04035	513	245	268
04036	211	97	114
04038	323	150	173
05004	437	246	191
05005	372	156	216
05006	332	158	174
05010	333	139	194
05013	174	81	93
05014	61	28	33
05015	369	185	184
05016	394	158	236
05017	39	11	28
05021	172	101	71
05028	198	94	104
05030	134	64	70
05036	288	111	177
07001	285	115	170
07002	323	124	199
07003	221	92	129
07004	355	170	185
07010	349	144	205
07011	39	11	28
07015	334	153	181
07016	2	1	1
07017	0	0	0
07019	327	142	185
07020	234	82	152
07021	67	17	50
07023	347	152	195
07024	292	104	188
07025	194	69	125
07028	60	22	38
07030	99	39	60
07031	198	63	135
07033	43	21	22
08001	3	1	2
08002	37	16	21
08021	1	1	0
08042	428	188	240
10018	200	67	133
10027	273	93	180
10034	185	62	123
10036	3	2	1
20005	312	143	169
20009	379	176	203
20016	357	187	170
20022	435	198	237
20024	97	46	51
42001	223	70	153
42002	204	81	123
42004	327	149	178
42006	326	137	189
42007	259	92	167
42008	234	82	152
42011	145	51	94
42013	255	102	153
42019	79	25	54
42024	210	79	131
42026	229	101	128
42028	325	151	174
42029	216	91	125
42030	193	56	137
42031	232	78	154
42034	161	46	115
42035	327	143	184
42040	182	79	103
43035	229	67	162
