Precinct	total_votes	votes|Angelica Alfaro	votes|Omar Aquino
01001	370	205	165
01002	234	118	116
01003	331	194	137
01004	302	166	136
01005	297	177	120
01006	315	173	142
01008	64	40	24
01010	301	161	140
01011	250	159	91
01014	337	201	136
01015	315	145	170
01017	314	171	143
01018	358	169	189
01020	281	132	149
01021	288	155	133
01022	238	140	98
01024	333	163	170
01025	340	184	156
01026	293	127	166
01027	321	176	145
01029	293	176	117
01030	384	196	188
01031	347	194	153
01032	235	137	98
01033	300	152	148
01035	353	214	139
01036	270	156	114
01037	229	128	101
01038	317	183	134
01039	272	156	116
01040	298	174	124
01044	295	164	131
02001	86	49	37
02003	321	205	116
02004	292	144	148
02005	322	203	119
02014	359	159	200
02015	37	16	21
02016	252	145	107
02017	174	113	61
02021	327	152	175
26001	264	107	157
26002	231	108	123
26003	267	131	136
26004	142	61	81
26005	268	130	138
26006	256	136	120
26008	150	73	77
26009	246	106	140
26010	270	133	137
26011	267	110	157
26012	274	159	115
26013	195	90	105
26014	210	74	136
26015	150	73	77
26016	165	67	98
26018	242	117	125
26019	96	45	51
26020	239	123	116
26021	330	151	179
26022	168	91	77
26023	182	72	110
26024	236	120	116
26025	225	106	119
26026	172	90	82
26027	291	125	166
26028	31	14	17
26029	159	65	94
26030	205	93	112
26031	137	60	77
26032	258	148	110
26033	260	137	123
26034	21	13	8
26035	221	97	124
26036	243	101	142
26037	289	143	146
26038	145	61	84
26039	245	103	142
26040	163	63	100
26041	280	136	144
26042	201	97	104
26043	160	96	64
26044	163	70	93
26045	129	78	51
26047	170	64	106
26048	238	127	111
26049	173	63	110
27005	14	3	11
27007	351	204	147
27013	146	99	47
27024	35	25	10
27027	26	14	12
27040	123	75	48
27043	4	1	3
29015	41	27	14
29023	45	25	20
29024	46	26	20
29029	22	13	9
29030	303	182	121
29031	122	47	75
29036	236	139	97
29038	264	128	136
29039	264	137	127
30002	287	120	167
30005	242	139	103
30006	265	132	133
30009	90	37	53
30010	354	238	116
30011	297	129	168
30012	262	159	103
30013	254	127	127
30014	224	99	125
30016	160	63	97
30019	250	118	132
30021	198	89	109
30029	194	103	91
30030	140	60	80
31003	200	90	110
31004	314	120	194
31014	39	13	26
31015	171	80	91
31016	276	127	149
31019	181	60	121
31021	26	9	17
31022	191	75	116
31025	189	66	123
31031	219	104	115
31039	231	107	124
35002	333	136	197
35003	350	167	183
35007	381	174	207
35008	368	175	193
35012	255	105	150
35013	247	118	129
35014	304	123	181
35016	256	94	162
35018	310	145	165
35019	227	108	119
35021	325	174	151
36001	312	108	204
36002	290	109	181
36003	264	85	179
36004	325	119	206
36005	323	99	224
36006	258	84	174
36007	297	115	182
36008	267	83	184
36009	277	106	171
36010	315	111	204
36011	236	101	135
36012	229	63	166
36013	226	87	139
36015	303	75	228
36018	60	26	34
36019	344	112	232
36021	297	92	205
36022	260	87	173
36023	282	63	219
36024	267	89	178
36025	331	85	246
36026	206	75	131
36027	257	93	164
36028	227	81	146
36029	312	135	177
36030	279	98	181
37012	79	44	35
37022	221	122	99
37026	47	24	23
38004	235	89	146
38008	222	105	117
38010	226	85	141
38016	223	104	119
38021	7	4	3
38037	276	91	185
38039	223	92	131
Leyden 28	134	77	57
Leyden 34	89	48	41
