Precinct	total_votes	votes|Proco ''Joe'' Moreno	votes|Maria Teresa Gonzalez
01001	365	176	189
01002	311	133	178
01003	323	173	150
01004	298	163	135
01005	290	184	106
01006	307	165	142
01007	249	121	128
01008	251	160	91
01009	276	141	135
01010	312	169	143
01011	314	172	142
01012	312	145	167
01013	155	84	71
01014	325	184	141
01015	311	153	158
01016	298	120	178
01017	319	138	181
01018	356	187	169
01019	421	194	227
01020	273	124	149
01021	302	162	140
01022	238	120	118
01023	496	210	286
01024	319	180	139
01025	328	187	141
01026	257	117	140
01027	311	164	147
01028	121	74	47
01029	293	145	148
01030	366	209	157
01031	347	193	154
01032	289	150	139
01033	323	172	151
01034	298	141	157
01035	331	153	178
01036	274	121	153
01037	294	138	156
01038	318	191	127
01039	280	136	144
01040	298	178	120
01041	218	89	129
01042	105	47	58
01043	251	107	144
01044	286	134	152
