Precinct	total_votes	votes|Patrick J. O'Connor	votes|Dianne Daleiden
40001	239	159	80
40002	273	180	93
40003	375	187	188
40004	166	102	64
40005	320	173	147
40006	351	156	195
40007	342	191	151
40008	398	174	224
40009	210	134	76
40010	285	193	92
40011	311	189	122
40012	223	110	113
40013	440	219	221
40014	241	174	67
40015	272	184	88
40016	379	176	203
40017	267	158	109
40018	231	135	96
40019	380	248	132
40020	272	161	111
40021	365	169	196
40022	322	155	167
40023	400	205	195
40024	237	170	67
40025	378	167	211
40026	334	152	182
40027	433	244	189
40028	391	190	201
40029	291	184	107
40030	294	196	98
40031	351	147	204
40032	357	174	183
40033	327	145	182
40034	257	183	74
40035	198	116	82
40036	284	158	126
40037	306	170	136
40038	380	158	222
40039	83	46	37
