Precinct	total_votes	votes|Martin J. Moylan	votes|Marilyn Smolenski
41028	465	311	154
41029	321	200	121
41042	8	2	6
Elk Grove 3	622	343	279
Elk Grove 4	518	323	195
Elk Grove 9	509	270	239
Elk Grove 12	379	156	223
Elk Grove 13	490	291	199
Elk Grove 15	428	229	199
Elk Grove 17	473	289	184
Elk Grove 18	743	414	329
Elk Grove 20	583	317	266
Elk Grove 24	468	245	223
Elk Grove 29	538	256	282
Elk Grove 31	328	199	129
Elk Grove 32	354	228	126
Elk Grove 33	355	173	182
Elk Grove 36	335	237	98
Elk Grove 37	364	181	183
Elk Grove 38	324	244	80
Elk Grove 40	452	284	168
Elk Grove 42	430	297	133
Elk Grove 43	536	287	249
Elk Grove 45	503	217	286
Elk Grove 47	702	356	346
Elk Grove 49	564	354	210
Elk Grove 51	781	358	423
Leyden 23	959	464	495
Maine 3	240	144	96
Maine 6	792	469	323
Maine 7	402	242	160
Maine 8	616	317	299
Maine 9	842	550	292
Maine 10	441	250	191
Maine 11	381	215	166
Maine 12	397	260	137
Maine 13	542	311	231
Maine 14	703	440	263
Maine 16	395	233	162
Maine 17	547	330	217
Maine 18	478	285	193
Maine 20	325	188	137
Maine 21	757	379	378
Maine 22	747	382	365
Maine 24	784	397	387
Maine 25	639	353	286
Maine 26	509	303	206
Maine 34	643	397	246
Maine 35	486	326	160
Maine 36	559	265	294
Maine 37	642	236	406
Maine 38	401	218	183
Maine 42	848	427	421
Maine 47	544	342	202
Maine 48	680	413	267
Maine 50	553	279	274
Maine 53	451	284	167
Maine 54	607	312	295
Maine 56	627	359	268
Maine 61	337	193	144
Maine 65	402	170	232
Maine 67	818	342	476
Maine 68	392	231	161
Maine 79	431	317	114
Maine 80	518	269	249
Maine 86	422	292	130
Maine 87	374	189	185
Norwood Park 3	658	338	320
Norwood Park 11	824	409	415
Norwood Park 14	471	268	203
