Precinct	total_votes	votes|Daniel William Lipinski	votes|Arthur J. Jones
11001	423	356	67
11004	364	321	43
11005	534	483	51
11008	414	367	47
11009	344	289	55
11010	389	325	64
11011	463	374	89
11012	574	454	120
11013	513	385	128
11015	167	143	24
11016	295	227	68
11017	524	446	78
11018	327	283	44
11019	536	486	50
11020	297	258	39
11021	535	463	72
11022	481	412	69
11023	266	226	40
11024	491	436	55
11025	550	466	84
11026	496	418	78
11027	140	124	16
11028	196	156	40
11029	479	409	70
11031	425	333	92
11032	213	172	41
11037	0	0	0
12001	354	325	29
12003	365	326	39
12004	399	357	42
12005	118	101	17
12008	12	12	0
12009	319	278	41
12019	351	318	33
12023	376	329	47
13001	298	247	51
13002	301	257	44
13003	279	260	19
13004	365	270	95
13005	391	357	34
13006	344	268	76
13007	262	245	17
13008	275	234	41
13009	358	328	30
13010	328	258	70
13011	380	315	65
13012	302	266	36
13013	353	326	27
13014	351	312	39
13015	463	425	38
13016	225	211	14
13017	285	243	42
13018	270	225	45
13020	207	173	34
13021	404	312	92
13022	391	322	69
13023	249	229	20
13024	354	310	44
13025	345	314	31
13026	319	263	56
13027	313	265	48
13028	260	232	28
13029	264	240	24
13030	268	257	11
13031	380	309	71
13032	293	235	58
13033	346	279	67
13034	403	384	19
13035	312	287	25
13036	209	196	13
13037	379	345	34
13038	330	255	75
13039	335	313	22
13040	350	315	35
13041	298	277	21
13042	340	270	70
13043	351	304	47
13044	350	334	16
13045	393	330	63
13046	395	364	31
13047	365	344	21
13048	318	271	47
14001	431	332	99
14004	387	313	74
14005	35	33	2
14007	408	372	36
14008	390	354	36
14009	447	370	77
14012	386	342	44
14018	157	128	29
14021	333	301	32
14022	476	404	72
14023	303	261	42
14024	452	353	99
14025	4	4	0
14026	267	246	21
14029	279	258	21
15001	239	217	22
15005	67	61	6
15008	11	8	3
15013	257	240	17
15014	276	255	21
15015	162	143	19
15016	340	318	22
15019	286	259	27
16001	263	239	24
16007	8	8	0
16023	283	263	20
16032	296	278	18
16035	103	96	7
18015	384	352	32
18024	369	335	34
18025	365	324	41
18030	434	375	59
18040	401	363	38
18043	277	233	44
18046	405	361	44
19001	393	305	88
19002	74	68	6
19003	332	223	109
19004	476	357	119
19005	158	142	16
19006	451	304	147
19007	385	329	56
19008	471	301	170
19009	319	233	86
19010	458	394	64
19011	378	261	117
19012	353	237	116
19015	537	353	184
19016	449	315	134
19017	383	301	82
19018	391	341	50
19019	556	498	58
19021	398	247	151
19022	473	418	55
19023	443	336	107
19024	315	214	101
19025	353	286	67
19026	435	364	71
19029	438	284	154
19030	398	265	133
19032	397	313	84
19033	454	311	143
19034	400	336	64
19035	392	337	55
19041	393	265	128
19044	469	319	150
19045	425	327	98
19046	449	359	90
19050	361	285	76
19051	482	389	93
19052	453	297	156
19053	404	339	65
19054	357	241	116
19055	358	241	117
19056	462	418	44
19057	314	279	35
20004	47	45	2
20015	147	142	5
20020	0	0	0
22001	204	195	9
22002	411	361	50
22008	455	402	53
22012	306	264	42
22023	447	425	22
23001	351	272	79
23002	373	283	90
23003	359	284	75
23004	402	332	70
23005	349	323	26
23006	370	336	34
23007	277	253	24
23008	411	355	56
23009	129	118	11
23010	391	347	44
23011	347	323	24
23012	364	286	78
23014	340	288	52
23015	294	265	29
23016	359	280	79
23017	136	123	13
23018	295	217	78
23019	256	235	21
23020	193	158	35
23021	364	278	86
23022	370	311	59
23023	347	277	70
23025	289	251	38
23026	235	211	24
23027	300	218	82
23028	361	275	86
23029	306	260	46
23030	379	334	45
23031	216	192	24
23032	331	304	27
23033	352	313	39
23034	184	160	24
23035	257	186	71
23036	336	268	68
23037	369	297	72
23038	330	273	57
23039	72	69	3
Berwyn Ward 1 Precinct 2	394	325	69
Berwyn Ward 1 Precinct 3	620	523	97
Berwyn Ward 1 Precinct 4	385	321	64
Berwyn Ward 2 Precinct 2	385	314	71
Berwyn Ward 2 Precinct 3	565	458	107
Cicero 5	540	456	84
Cicero 6	277	245	32
Cicero 11	481	408	73
Cicero 13	420	349	71
Cicero 20	311	271	40
Lemont 1	610	315	295
Lemont 2	473	303	170
Lemont 3	736	408	328
Lemont 4	631	347	284
Lemont 5	603	379	224
Lemont 6	632	389	243
Lemont 7	519	335	184
Lemont 8	714	454	260
Lemont 9	401	199	202
Lemont 10	440	309	131
Lemont 11	855	495	360
Lemont 12	781	420	361
Lemont 13	784	434	350
Lemont 14	622	329	293
Lyons 1	68	50	18
Lyons 2	453	355	98
Lyons 3	444	326	118
Lyons 4	806	629	177
Lyons 5	568	413	155
Lyons 6	370	280	90
Lyons 7	494	452	42
Lyons 8	306	239	67
Lyons 9	675	561	114
Lyons 10	472	369	103
Lyons 11	421	328	93
Lyons 13	209	202	7
Lyons 14	648	509	139
Lyons 15	569	456	113
Lyons 16	999	806	193
Lyons 18	474	365	109
Lyons 19	460	342	118
Lyons 20	953	732	221
Lyons 21	971	753	218
Lyons 22	326	277	49
Lyons 23	628	410	218
Lyons 24	487	371	116
Lyons 25	523	363	160
Lyons 28	698	464	234
Lyons 29	406	295	111
Lyons 30	91	63	28
Lyons 31	541	387	154
Lyons 32	255	189	66
Lyons 33	195	136	59
Lyons 34	234	178	56
Lyons 35	436	282	154
Lyons 37	349	253	96
Lyons 38	235	173	62
Lyons 39	592	446	146
Lyons 40	472	350	122
Lyons 41	353	229	124
Lyons 42	549	424	125
Lyons 43	498	362	136
Lyons 44	900	661	239
Lyons 45	769	575	194
Lyons 46	435	291	144
Lyons 47	542	424	118
Lyons 48	490	383	107
Lyons 49	365	249	116
Lyons 50	617	485	132
Lyons 51	386	297	89
Lyons 52	608	444	164
Lyons 53	555	377	178
Lyons 54	315	216	99
Lyons 55	654	474	180
Lyons 56	638	532	106
Lyons 57	515	446	69
Lyons 58	367	252	115
Lyons 59	413	315	98
Lyons 60	698	642	56
Lyons 61	561	387	174
Lyons 64	452	361	91
Lyons 65	642	481	161
Lyons 66	331	274	57
Lyons 67	524	397	127
Lyons 68	371	284	87
Lyons 69	755	598	157
Lyons 70	383	360	23
Lyons 71	201	161	40
Lyons 72	731	548	183
Lyons 73	528	399	129
Lyons 74	255	182	73
Lyons 75	324	252	72
Lyons 76	373	260	113
Lyons 77	366	257	109
Lyons 78	369	251	118
Orland 1	796	536	260
Orland 2	622	383	239
Orland 4	389	242	147
Orland 8	420	278	142
Orland 9	610	420	190
Orland 12	251	157	94
Orland 14	97	64	33
Orland 15	736	430	306
Orland 16	527	302	225
Orland 18	693	439	254
Orland 20	299	169	130
Orland 22	500	332	168
Orland 23	435	288	147
Orland 26	427	281	146
Orland 29	793	475	318
Orland 36	633	439	194
Orland 39	456	283	173
Orland 41	479	294	185
Orland 42	618	404	214
Orland 43	483	326	157
Orland 44	457	268	189
Orland 45	519	315	204
Orland 47	789	467	322
Orland 49	399	251	148
Orland 50	218	156	62
Orland 51	636	413	223
Orland 53	454	303	151
Orland 56	477	236	241
Orland 57	560	337	223
Orland 58	574	368	206
Orland 59	559	346	213
Orland 60	398	256	142
Orland 61	443	280	163
Orland 63	590	373	217
Orland 64	724	410	314
Orland 65	509	287	222
Orland 66	498	309	189
Orland 68	442	259	183
Orland 70	712	460	252
Orland 71	531	294	237
Orland 74	355	237	118
Orland 75	679	379	300
Palos 2	434	284	150
Palos 3	439	282	157
Palos 4	395	274	121
Palos 5	313	227	86
Palos 6	272	185	87
Palos 7	555	413	142
Palos 8	214	136	78
Palos 9	178	115	63
Palos 10	665	375	290
Palos 11	546	342	204
Palos 12	470	336	134
Palos 13	533	293	240
Palos 14	345	248	97
Palos 15	513	326	187
Palos 16	717	435	282
Palos 17	610	445	165
Palos 18	593	420	173
Palos 19	606	452	154
Palos 20	576	406	170
Palos 21	359	247	112
Palos 22	90	61	29
Palos 23	331	217	114
Palos 24	346	202	144
Palos 25	408	374	34
Palos 26	321	223	98
Palos 27	510	389	121
Palos 28	381	335	46
Palos 29	586	331	255
Palos 30	596	409	187
Palos 31	537	363	174
Palos 32	257	179	78
Palos 34	361	235	126
Palos 35	637	442	195
Palos 36	590	407	183
Palos 37	631	386	245
Palos 38	510	356	154
Palos 39	645	388	257
Riverside 2	0	0	0
Stickney 1	256	171	85
Stickney 2	358	291	67
Stickney 3	696	537	159
Stickney 4	540	404	136
Stickney 5	602	458	144
Stickney 6	671	515	156
Stickney 7	284	223	61
Stickney 8	456	349	107
Stickney 9	453	357	96
Stickney 10	567	453	114
Stickney 11	514	403	111
Stickney 12	494	375	119
Stickney 13	404	309	95
Stickney 14	597	439	158
Stickney 15	547	443	104
Stickney 16	589	439	150
Stickney 17	341	258	83
Stickney 18	254	191	63
Stickney 19	426	326	100
Stickney 20	393	326	67
Worth 1	274	211	63
Worth 2	581	423	158
Worth 3	542	398	144
Worth 4	717	598	119
Worth 5	569	431	138
Worth 6	529	378	151
Worth 9	389	293	96
Worth 11	546	416	130
Worth 15	317	217	100
Worth 21	723	569	154
Worth 22	437	316	121
Worth 25	578	460	118
Worth 26	400	300	100
Worth 27	436	320	116
Worth 28	359	276	83
Worth 30	535	411	124
Worth 33	491	380	111
Worth 35	572	392	180
Worth 36	569	480	89
Worth 40	565	453	112
Worth 41	292	233	59
Worth 44	319	235	84
Worth 46	651	500	151
Worth 47	288	210	78
Worth 48	408	312	96
Worth 49	339	252	87
Worth 51	366	269	97
Worth 53	514	371	143
Worth 56	539	409	130
Worth 58	570	442	128
Worth 60	307	231	76
Worth 61	451	312	139
Worth 62	292	211	81
Worth 63	515	404	111
Worth 66	387	277	110
Worth 67	319	228	91
Worth 70	631	464	167
Worth 71	424	289	135
Worth 74	267	214	53
Worth 75	616	487	129
Worth 76	251	201	50
Worth 77	501	386	115
Worth 78	650	486	164
Worth 81	155	104	51
Worth 82	511	378	133
Worth 83	233	195	38
Worth 84	532	398	134
Worth 85	532	422	110
Worth 86	503	379	124
Worth 90	553	430	123
Worth 91	297	218	79
Worth 92	541	414	127
Worth 93	294	222	72
Worth 94	494	381	113
Worth 98	601	458	143
Worth 99	314	227	87
Worth 100	538	426	112
