Precinct	total_votes	votes|Yes	votes|No
46008	346	180	166
46012	610	346	264
46014	475	280	195
46020	481	278	203
46021	356	191	165
46022	416	216	200
46025	540	307	233
46032	465	257	208
49001	365	198	167
49002	354	240	114
49003	597	382	215
49004	644	446	198
49005	498	313	185
49006	525	346	179
49007	580	320	260
49008	449	270	179
49009	558	349	209
49010	514	331	183
49011	645	397	248
49012	784	512	272
49013	658	437	221
49014	426	250	176
49015	438	273	165
49016	477	279	198
49017	323	196	127
49018	686	476	210
49019	515	304	211
49020	778	515	263
49021	315	182	133
49022	549	342	207
49023	650	435	215
49024	462	282	180
49025	733	446	287
49026	597	391	206
49027	645	390	255
49028	696	437	259
49029	636	407	229
49030	580	354	226
49031	432	228	204
49032	537	334	203
49033	475	280	195
