Precinct	total_votes	votes|Michelle A. Harris
03002	27	27
03004	133	133
03007	176	176
03012	21	21
03018	117	117
03023	27	27
03029	0	0
03030	96	96
03031	15	15
03035	71	71
03038	236	236
03041	203	203
04001	312	312
04003	181	181
04004	33	33
04008	261	261
04009	320	320
04011	89	89
04012	260	260
04014	219	219
04015	207	207
04018	236	236
04019	142	142
04022	228	228
04023	347	347
04024	212	212
04026	200	200
04027	291	291
04028	63	63
04029	141	141
04030	219	219
04031	309	309
04032	250	250
04033	239	239
04036	144	144
04038	286	286
05002	134	134
05003	206	206
05004	267	267
05005	185	185
05007	236	236
05008	239	239
05009	287	287
05010	127	127
05011	101	101
05012	144	144
05013	161	161
05015	191	191
05016	176	176
05017	165	165
05018	136	136
05019	247	247
05020	276	276
05021	227	227
05022	298	298
05024	247	247
05025	52	52
05027	186	186
05030	148	148
05033	225	225
05034	228	228
05035	224	224
05039	198	198
06001	231	231
06002	201	201
06003	215	215
06004	112	112
06005	87	87
06006	206	206
06007	184	184
06008	190	190
06009	129	129
06010	96	96
06011	131	131
06012	105	105
06013	138	138
06014	177	177
06015	106	106
06016	204	204
06017	99	99
06018	90	90
06019	151	151
06020	90	90
06021	3	3
06022	94	94
06023	61	61
06024	90	90
06025	78	78
06026	99	99
06027	86	86
06028	73	73
06029	244	244
06030	120	120
06031	242	242
06032	184	184
06033	177	177
06034	201	201
06035	182	182
06036	243	243
06037	238	238
06038	220	220
06039	132	132
06040	149	149
06041	194	194
06042	162	162
06043	150	150
06044	152	152
06045	187	187
06046	113	113
06047	130	130
06048	180	180
07001	135	135
08001	155	155
08002	166	166
08003	267	267
08004	94	94
08005	248	248
08006	217	217
08008	240	240
08010	311	311
08011	186	186
08012	156	156
08013	203	203
08014	92	92
08015	175	175
08016	52	52
08018	131	131
08019	258	258
08020	249	249
08021	235	235
08022	187	187
08023	169	169
08024	146	146
08025	164	164
08026	180	180
08027	56	56
08029	250	250
08030	208	208
08031	156	156
08033	192	192
08034	200	200
08035	226	226
08037	187	187
08038	108	108
08040	150	150
08041	197	197
08043	87	87
08044	128	128
08045	145	145
08047	171	171
08048	164	164
08049	185	185
08050	136	136
08051	224	224
08052	289	289
08054	120	120
08055	193	193
08056	237	237
09012	218	218
09023	224	224
09024	184	184
09025	181	181
09036	141	141
09042	204	204
09047	230	230
09048	192	192
09049	175	175
09050	294	294
09051	207	207
13019	127	127
13041	32	32
16006	0	0
16009	113	113
16027	5	5
16028	108	108
16030	86	86
16031	21	21
16034	26	26
17001	125	125
17002	123	123
17003	126	126
17004	185	185
17005	107	107
17006	51	51
17008	95	95
17009	115	115
17010	190	190
17011	92	92
17012	17	17
17013	0	0
17015	146	146
17016	77	77
17017	124	124
17018	175	175
17020	224	224
17021	217	217
17022	123	123
17023	98	98
17024	160	160
17025	93	93
17026	150	150
17027	136	136
17028	105	105
17029	111	111
17030	84	84
17032	95	95
17033	35	35
17034	100	100
17035	14	14
17036	112	112
17037	121	121
17038	119	119
17039	152	152
17040	176	176
17041	203	203
18001	133	133
18002	115	115
18003	117	117
18004	221	221
18005	103	103
18006	138	138
18007	153	153
18008	185	185
18009	216	216
18010	276	276
18011	143	143
18012	162	162
18013	203	203
18014	183	183
18015	2	2
18016	158	158
18017	162	162
18018	171	171
18019	190	190
18020	129	129
18021	228	228
18022	221	221
18023	151	151
18026	229	229
18027	118	118
18028	131	131
18029	178	178
18031	181	181
18032	193	193
18033	138	138
18034	232	232
18035	237	237
18036	166	166
18037	222	222
18038	172	172
18039	124	124
18041	212	212
18042	130	130
18044	134	134
18045	127	127
18047	113	113
18048	140	140
18049	95	95
18050	113	113
19002	263	263
19005	185	185
19010	42	42
19011	8	8
19013	307	307
19014	235	235
19020	226	226
19025	65	65
19027	237	237
19028	265	265
19031	195	195
19036	278	278
19037	247	247
19038	202	202
19039	61	61
19040	221	221
19042	164	164
19043	285	285
19047	343	343
19048	230	230
19049	306	306
19057	23	23
20001	169	169
20003	134	134
20005	183	183
20007	126	126
20008	159	159
20009	222	222
20010	114	114
20011	58	58
20012	90	90
20013	158	158
20014	83	83
20016	174	174
20018	108	108
20019	110	110
20022	227	227
20023	142	142
20024	160	160
20026	200	200
20027	58	58
20028	103	103
20029	203	203
20030	2	2
20031	34	34
20033	128	128
20034	199	199
20035	63	63
20037	48	48
21001	207	207
21002	124	124
21003	202	202
21004	169	169
21005	209	209
21006	135	135
21007	204	204
21008	184	184
21009	216	216
21010	156	156
21011	155	155
21012	151	151
21013	170	170
21014	233	233
21015	146	146
21016	156	156
21017	136	136
21018	186	186
21019	193	193
21020	137	137
21021	161	161
21022	160	160
21023	157	157
21024	191	191
21025	170	170
21026	145	145
21027	157	157
21028	206	206
21029	197	197
21030	138	138
21031	151	151
21032	161	161
21033	149	149
21034	147	147
21035	231	231
21036	163	163
21037	153	153
21038	149	149
21039	116	116
21040	160	160
21041	168	168
21042	193	193
21043	181	181
21044	182	182
21045	146	146
21046	195	195
21047	141	141
21048	156	156
21049	224	224
21050	149	149
21051	161	161
21052	169	169
21053	144	144
21054	150	150
34001	207	207
34002	114	114
34003	168	168
34005	152	152
34006	199	199
34007	198	198
34008	133	133
34009	125	125
34010	192	192
34011	121	121
34012	173	173
34013	179	179
34014	125	125
34015	123	123
34016	149	149
34017	223	223
34019	168	168
34020	217	217
34021	221	221
34022	50	50
34025	287	287
34026	210	210
34029	138	138
34030	69	69
34031	138	138
34032	145	145
34033	127	127
34034	192	192
34035	181	181
34040	192	192
34041	4	4
34042	218	218
34043	191	191
34044	202	202
34045	177	177
34046	137	137
34047	148	148
34048	222	222
34049	193	193
34050	122	122
34051	209	209
34052	153	153
Bremen 1	195	195
Bremen 2	125	125
Bremen 3	88	88
Bremen 4	129	129
Bremen 5	96	96
Bremen 6	85	85
Bremen 9	101	101
Bremen 10	139	139
Bremen 11	153	153
Bremen 12	130	130
Bremen 13	171	171
Bremen 14	95	95
Bremen 15	99	99
Bremen 16	150	150
Bremen 17	165	165
Bremen 18	121	121
Bremen 19	72	72
Bremen 20	121	121
Bremen 21	158	158
Bremen 22	85	85
Bremen 23	71	71
Bremen 24	94	94
Bremen 25	199	199
Bremen 27	142	142
Bremen 28	93	93
Bremen 30	137	137
Bremen 33	99	99
Bremen 34	145	145
Bremen 36	83	83
Bremen 37	122	122
Bremen 40	92	92
Bremen 41	66	66
Bremen 42	139	139
Bremen 43	104	104
Bremen 45	29	29
Bremen 46	97	97
Bremen 50	140	140
Bremen 52	108	108
Bremen 53	77	77
Bremen 54	94	94
Bremen 55	99	99
Bremen 57	114	114
Bremen 58	161	161
Bremen 59	112	112
Bremen 60	117	117
Bremen 61	130	130
Bremen 62	127	127
Bremen 64	151	151
Bremen 65	89	89
Bremen 67	142	142
Bremen 68	76	76
Bremen 69	140	140
Bremen 72	94	94
Bremen 73	135	135
Bremen 74	136	136
Bremen 76	94	94
Bremen 77	182	182
Bremen 79	131	131
Calumet 1	172	172
Calumet 2	177	177
Calumet 3	218	218
Calumet 5	189	189
Calumet 6	270	270
Calumet 7	218	218
Calumet 8	101	101
Calumet 9	173	173
Calumet 10	259	259
Calumet 11	326	326
Calumet 12	147	147
Orland 3	85	85
Orland 5	97	97
Orland 6	90	90
Orland 7	76	76
Orland 10	136	136
Orland 11	93	93
Orland 13	184	184
Orland 14	125	125
Orland 17	98	98
Orland 19	87	87
Orland 21	145	145
Orland 24	120	120
Orland 25	217	217
Orland 27	95	95
Orland 28	82	82
Orland 30	77	77
Orland 31	84	84
Orland 32	72	72
Orland 33	103	103
Orland 34	137	137
Orland 35	162	162
Orland 37	196	196
Orland 38	65	65
Orland 40	131	131
Orland 46	107	107
Orland 48	142	142
Orland 50	55	55
Orland 52	132	132
Orland 54	160	160
Orland 55	131	131
Orland 62	125	125
Orland 67	74	74
Orland 69	96	96
Orland 72	117	117
Orland 73	153	153
Palos 1	79	79
Palos 9	37	37
Palos 33	154	154
Rich 7	217	217
Rich 20	272	272
Thornton 31	43	43
Thornton 49	9	9
Thornton 97	54	54
Worth 7	113	113
Worth 8	183	183
Worth 9	88	88
Worth 10	242	242
Worth 12	89	89
Worth 13	225	225
Worth 14	172	172
Worth 15	116	116
Worth 16	219	219
Worth 17	178	178
Worth 18	87	87
Worth 19	146	146
Worth 20	104	104
Worth 23	133	133
Worth 24	96	96
Worth 29	165	165
Worth 31	248	248
Worth 32	119	119
Worth 34	139	139
Worth 37	144	144
Worth 38	244	244
Worth 39	186	186
Worth 42	131	131
Worth 43	105	105
Worth 45	159	159
Worth 50	159	159
Worth 52	86	86
Worth 54	213	213
Worth 55	87	87
Worth 57	204	204
Worth 59	318	318
Worth 64	183	183
Worth 65	185	185
Worth 68	149	149
Worth 69	237	237
Worth 72	193	193
Worth 73	100	100
Worth 79	92	92
Worth 80	214	214
Worth 81	48	48
Worth 87	106	106
Worth 88	109	109
Worth 89	183	183
Worth 95	139	139
Worth 96	218	218
Worth 97	164	164
