Precinct	total_votes	votes|Robin Kelly	votes|Carrie M. Austin
05001	202	144	58
05006	210	163	47
05010	29	20	9
05011	204	160	44
05014	260	189	71
05018	98	78	20
05023	450	366	84
05025	221	177	44
05026	262	221	41
05028	318	240	78
05029	266	200	66
05031	196	146	50
05032	333	253	80
05035	47	38	9
05036	137	109	28
05037	324	268	56
05038	240	186	54
05040	202	153	49
05041	186	136	50
07001	26	20	6
07002	178	154	24
07003	265	211	54
07004	228	169	59
07005	181	127	54
07006	266	212	54
07007	174	129	45
07008	168	133	35
07009	365	271	94
07010	232	178	54
07011	168	129	39
07012	181	131	50
07013	150	115	35
07014	212	161	51
07015	215	175	40
07016	162	114	48
07017	158	126	32
07018	163	112	51
07019	222	175	47
07020	137	99	38
07021	158	119	39
07022	172	118	54
07023	250	199	51
07024	177	137	40
07025	125	88	37
07026	171	136	35
07027	181	158	23
07028	130	96	34
07029	163	129	34
07030	133	84	49
07031	111	79	32
07032	355	271	84
07033	337	264	73
07034	271	208	63
07035	202	151	51
07036	273	187	86
07037	227	182	45
07038	177	125	52
07039	195	148	47
07040	180	145	35
07041	189	135	54
07042	196	149	47
07043	194	152	42
07044	149	109	40
07045	159	119	40
07046	124	98	26
08004	179	133	46
08005	2	1	1
08007	286	204	82
08009	166	111	55
08017	219	154	65
08027	205	142	63
08028	235	177	58
08032	168	114	54
08036	240	174	66
08039	220	166	54
08042	273	201	72
08046	162	117	45
08049	12	9	3
08050	96	64	32
08053	121	84	37
09001	223	138	85
09002	187	119	68
09003	120	95	25
09004	154	95	59
09005	222	137	85
09006	200	106	94
09007	156	82	74
09008	189	133	56
09009	248	163	85
09010	158	90	68
09011	150	82	68
09013	258	169	89
09014	280	197	83
09015	120	86	34
09016	188	115	73
09017	138	87	51
09018	140	78	62
09019	193	112	81
09020	234	156	78
09021	169	106	63
09022	239	151	88
09026	148	83	65
09027	188	101	87
09028	118	68	50
09029	167	104	63
09030	155	93	62
09031	144	74	70
09032	212	127	85
09033	139	96	43
09034	149	83	66
09035	230	144	86
09037	294	204	90
09038	182	134	48
09039	237	139	98
09040	264	168	96
09041	165	104	61
09043	166	97	69
09044	201	109	92
09045	152	91	61
09046	215	137	78
10001	162	119	43
10002	159	104	55
10003	138	95	43
10004	122	75	47
10005	107	72	35
10006	118	68	50
10007	93	62	31
10008	80	55	25
10009	126	94	32
10010	150	95	55
10011	153	108	45
10012	84	53	31
10013	143	100	43
10014	164	109	55
10015	403	298	105
10016	102	73	29
10017	195	126	69
10018	86	67	19
10019	127	77	50
10020	153	106	47
10021	111	75	36
10022	85	63	22
10023	118	80	38
10024	130	68	62
10025	49	38	11
10026	94	57	37
10027	141	102	39
10028	150	100	50
10029	113	68	45
10030	128	89	39
10031	97	68	29
10032	122	81	41
10033	103	61	42
10034	87	62	25
10035	160	104	56
10036	44	30	14
34002	36	17	19
34004	150	65	85
34018	167	84	83
34022	178	76	102
34023	181	75	106
34024	191	85	106
34027	180	91	89
34028	126	54	72
34030	165	87	78
34036	225	110	115
34037	117	60	57
34038	92	45	47
34039	146	65	81
34041	135	81	54
34053	116	62	54
Bloom 1	299	246	53
Bloom 2	281	224	57
Bloom 3	144	121	23
Bloom 4	165	113	52
Bloom 5	138	105	33
Bloom 6	89	77	12
Bloom 7	213	162	51
Bloom 8	143	96	47
Bloom 9	156	117	39
Bloom 10	93	78	15
Bloom 11	97	59	38
Bloom 12	192	153	39
Bloom 13	406	335	71
Bloom 14	231	182	49
Bloom 15	150	112	38
Bloom 16	208	156	52
Bloom 17	181	150	31
Bloom 18	158	119	39
Bloom 19	325	263	62
Bloom 20	258	200	58
Bloom 21	57	50	7
Bloom 22	138	102	36
Bloom 23	171	128	43
Bloom 24	320	260	60
Bloom 25	130	102	28
Bloom 26	85	63	22
Bloom 27	181	130	51
Bloom 28	198	158	40
Bloom 29	111	89	22
Bloom 30	346	274	72
Bloom 31	205	163	42
Bloom 32	140	104	36
Bloom 33	251	199	52
Bloom 34	185	147	38
Bloom 35	93	74	19
Bloom 36	313	238	75
Bloom 37	167	127	40
Bloom 38	610	489	121
Bloom 39	149	125	24
Bloom 40	196	162	34
Bloom 41	334	252	82
Bloom 42	257	203	54
Bloom 43	286	216	70
Bloom 44	217	153	64
Bloom 45	343	278	65
Bloom 46	158	127	31
Bloom 47	336	264	72
Bloom 48	241	179	62
Bloom 49	302	231	71
Bloom 50	232	196	36
Bloom 51	92	69	23
Bloom 52	194	156	38
Bloom 53	85	62	23
Bloom 54	193	145	48
Bloom 55	128	95	33
Bloom 56	145	121	24
Bloom 57	203	160	43
Bloom 58	197	157	40
Bloom 59	175	145	30
Bloom 60	231	188	43
Bloom 61	159	133	26
Bremen 3	3	2	1
Bremen 7	126	89	37
Bremen 8	149	117	32
Bremen 26	268	223	45
Bremen 29	369	298	71
Bremen 31	200	149	51
Bremen 32	241	199	42
Bremen 35	128	89	39
Bremen 38	150	109	41
Bremen 39	122	91	31
Bremen 40	253	188	65
Bremen 44	196	128	68
Bremen 45	53	34	19
Bremen 47	216	170	46
Bremen 48	176	131	45
Bremen 49	248	207	41
Bremen 51	291	229	62
Bremen 56	257	200	57
Bremen 63	295	240	55
Bremen 66	245	216	29
Bremen 70	133	112	21
Bremen 71	190	169	21
Bremen 75	309	252	57
Bremen 78	241	200	41
Bremen 80	240	205	35
Calumet 4	182	124	58
Rich 1	994	812	182
Rich 2	342	272	70
Rich 3	466	391	75
Rich 4	247	208	39
Rich 5	437	345	92
Rich 6	453	375	78
Rich 8	430	347	83
Rich 9	361	314	47
Rich 10	247	201	46
Rich 11	298	247	51
Rich 12	325	263	62
Rich 13	134	107	27
Rich 14	218	176	42
Rich 15	562	453	109
Rich 16	172	134	38
Rich 17	199	164	35
Rich 18	287	238	49
Rich 19	146	116	30
Rich 21	328	269	59
Rich 22	246	197	49
Rich 23	377	304	73
Rich 24	312	257	55
Rich 25	457	379	78
Rich 26	303	247	56
Rich 27	299	232	67
Rich 28	272	234	38
Rich 29	281	234	47
Rich 30	436	359	77
Rich 31	256	208	48
Rich 32	351	303	48
Rich 33	226	194	32
Rich 34	311	254	57
Rich 35	275	227	48
Rich 36	705	553	152
Rich 37	236	201	35
Rich 38	219	174	45
Rich 39	385	323	62
Rich 40	281	240	41
Rich 41	238	201	37
Rich 42	282	229	53
Rich 43	322	272	50
Rich 44	231	194	37
Rich 45	466	385	81
Rich 46	395	332	63
Rich 47	474	380	94
Rich 48	345	280	65
Rich 49	177	141	36
Rich 50	70	46	24
Rich 51	255	197	58
Thornton 1	133	90	43
Thornton 2	82	56	26
Thornton 3	189	128	61
Thornton 4	280	219	61
Thornton 5	130	80	50
Thornton 6	334	222	112
Thornton 7	269	180	89
Thornton 8	215	146	69
Thornton 9	181	111	70
Thornton 10	186	127	59
Thornton 11	98	67	31
Thornton 12	154	96	58
Thornton 13	149	107	42
Thornton 14	221	148	73
Thornton 15	181	127	54
Thornton 16	155	106	49
Thornton 17	189	127	62
Thornton 18	216	146	70
Thornton 19	207	132	75
Thornton 20	105	70	35
Thornton 21	341	250	91
Thornton 22	211	148	63
Thornton 23	249	186	63
Thornton 24	292	228	64
Thornton 25	255	201	54
Thornton 26	161	126	35
Thornton 27	384	280	104
Thornton 28	160	103	57
Thornton 29	131	93	38
Thornton 30	137	103	34
Thornton 32	140	83	57
Thornton 33	218	140	78
Thornton 34	336	216	120
Thornton 35	308	203	105
Thornton 36	91	66	25
Thornton 37	194	136	58
Thornton 38	283	183	100
Thornton 39	176	125	51
Thornton 40	159	106	53
Thornton 41	148	115	33
Thornton 42	153	112	41
Thornton 43	158	114	44
Thornton 44	130	93	37
Thornton 45	223	139	84
Thornton 46	251	163	88
Thornton 47	127	88	39
Thornton 48	206	145	61
Thornton 49	101	67	34
Thornton 50	145	95	50
Thornton 51	129	89	40
Thornton 52	247	150	97
Thornton 53	129	86	43
Thornton 54	390	288	102
Thornton 55	160	104	56
Thornton 56	180	132	48
Thornton 57	98	64	34
Thornton 58	221	157	64
Thornton 59	151	120	31
Thornton 60	142	106	36
Thornton 61	123	92	31
Thornton 62	49	32	17
Thornton 63	104	68	36
Thornton 64	269	187	82
Thornton 65	187	121	66
Thornton 66	412	301	111
Thornton 67	302	238	64
Thornton 68	188	137	51
Thornton 69	147	110	37
Thornton 70	142	81	61
Thornton 71	129	87	42
Thornton 72	208	138	70
Thornton 73	333	244	89
Thornton 74	197	135	62
Thornton 75	217	140	77
Thornton 76	284	209	75
Thornton 77	329	229	100
Thornton 78	257	162	95
Thornton 79	255	158	97
Thornton 80	257	201	56
Thornton 81	227	157	70
Thornton 82	130	93	37
Thornton 83	284	201	83
Thornton 84	322	230	92
Thornton 85	208	146	62
Thornton 86	204	151	53
Thornton 87	337	222	115
Thornton 88	242	146	96
Thornton 89	307	227	80
Thornton 90	282	192	90
Thornton 91	262	198	64
Thornton 92	265	199	66
Thornton 93	154	104	50
Thornton 94	268	175	93
Thornton 95	145	94	51
Thornton 96	176	112	64
Thornton 98	55	40	15
Thornton 99	174	113	61
Thornton 100	118	78	40
Thornton 101	176	120	56
Thornton 102	128	82	46
Thornton 103	134	101	33
Thornton 104	78	60	18
Thornton 105	204	152	52
Thornton 106	170	127	43
Thornton 107	418	314	104
Thornton 108	126	82	44
Thornton 109	157	112	45
Thornton 110	158	127	31
Thornton 111	157	118	39
Thornton 112	87	56	31
Thornton 113	112	82	30
Thornton 114	206	151	55
Thornton 115	210	160	50
Thornton 116	202	117	85
Thornton 117	239	187	52
Thornton 118	330	239	91
Thornton 119	205	140	65
Thornton 120	383	276	107
Thornton 121	190	130	60
Thornton 122	309	238	71
Thornton 123	169	124	45
