Precinct	total_votes	votes|Arthur Noah Siegel	votes|Kelly M. Cassidy
40028	273	31	242
40037	4	0	4
48001	262	32	230
48002	153	18	135
48003	272	47	225
48005	190	18	172
48006	298	38	260
48007	291	21	270
48008	160	21	139
48009	162	30	132
48010	398	34	364
48011	266	20	246
48012	320	33	287
48013	334	59	275
48014	128	25	103
48015	138	25	113
48016	259	38	221
48018	199	37	162
48019	255	40	215
48020	111	14	97
48021	0	0	0
48022	284	50	234
48025	302	39	263
48026	109	18	91
48027	260	43	217
48028	262	59	203
48029	173	35	138
48030	270	23	247
48031	272	62	210
48032	243	42	201
48033	181	37	144
48034	230	27	203
48036	184	30	154
48037	267	37	230
48038	299	26	273
48039	228	31	197
48040	260	40	220
48041	268	43	225
48042	354	45	309
48043	265	55	210
48044	336	42	294
48045	214	22	192
48046	171	30	141
49001	150	25	125
49002	170	18	152
49003	288	30	258
49004	313	36	277
49005	309	51	258
49006	236	29	207
49007	244	28	216
49008	186	36	150
49009	259	26	233
49010	292	49	243
49011	344	26	318
49012	367	31	336
49013	321	34	287
49014	229	49	180
49015	181	30	151
49016	275	48	227
49017	140	25	115
49018	344	49	295
49019	191	38	153
49020	399	47	352
49021	137	27	110
49022	285	56	229
49023	323	42	281
49024	181	35	146
49025	331	39	292
49026	291	37	254
49027	271	39	232
49028	322	46	276
49029	333	38	295
49030	310	51	259
49031	216	29	187
49032	254	31	223
49033	214	31	183
50008	132	17	115
50028	0	0	0
Evanston Ward 8 Precinct 3	217	32	185
Evanston Ward 8 Precinct 5	367	46	321
