Precinct	total_votes	votes|Daniel J. Burke	votes|Aaron M. Ortiz
12020	3	1	2
14001	260	190	70
14002	265	149	116
14004	259	189	70
14005	259	132	127
14006	72	44	28
14007	204	69	135
14008	205	83	122
14009	280	194	86
14010	131	49	82
14012	223	111	112
14013	189	116	73
14014	217	108	109
14016	151	79	72
14017	172	69	103
14018	9	5	4
14019	202	100	102
14020	126	47	79
14021	211	78	133
14022	66	24	42
14023	132	94	38
14024	310	222	88
14025	130	49	81
14026	151	67	84
14027	198	99	99
14028	138	52	86
14029	199	71	128
14030	115	34	81
14031	105	38	67
15003	21	14	7
15004	173	41	132
15008	161	42	119
15009	20	8	12
15010	111	46	65
15011	90	34	56
15012	188	70	118
15016	194	77	117
15019	171	80	91
16001	191	68	123
16002	51	32	19
16007	121	66	55
16011	105	46	59
16013	118	50	68
16017	89	34	55
16023	123	43	80
16032	145	51	94
16035	177	57	120
17001	95	27	68
17007	116	44	72
17012	191	67	124
17014	181	83	98
17016	122	54	68
17030	37	17	20
22001	130	72	58
22002	256	133	123
22008	271	135	136
22012	184	87	97
22023	269	140	129
23003	198	130	68
23006	141	56	85
23012	4	1	3
23014	180	112	68
23017	61	19	42
23019	150	44	106
23020	9	2	7
23022	70	43	27
23024	93	28	65
23025	134	55	79
23026	19	7	12
23031	141	34	107
23037	73	41	32
Stickney 10	254	121	133
