Precinct	total_votes	votes|Robert Rafael Reyes	votes|Elizabeth ''Lisa'' Hernandez
12016	7	2	5
22003	244	95	149
22004	89	41	48
22005	146	75	71
22006	155	62	93
22007	107	36	71
22009	129	59	70
22010	4	1	3
22011	166	107	59
22013	74	28	46
22015	24	9	15
22016	2	0	2
22017	149	69	80
22018	72	39	33
22020	164	72	92
22024	183	77	106
22025	169	75	94
Berwyn Ward 1 Precinct 1	202	133	69
Berwyn Ward 1 Precinct 2	202	97	105
Berwyn Ward 1 Precinct 3	320	164	156
Berwyn Ward 1 Precinct 4	222	130	92
Berwyn Ward 1 Precinct 5	212	147	65
Berwyn Ward 2 Precinct 1	136	57	79
Berwyn Ward 2 Precinct 2	206	114	92
Berwyn Ward 2 Precinct 3	296	139	157
Berwyn Ward 2 Precinct 4	304	145	159
Berwyn Ward 3 Precinct 1	179	77	102
Berwyn Ward 3 Precinct 2	162	88	74
Berwyn Ward 3 Precinct 4	215	107	108
Berwyn Ward 3 Precinct 5	322	158	164
Berwyn Ward 4 Precinct 1	132	60	72
Berwyn Ward 4 Precinct 2	238	107	131
Berwyn Ward 4 Precinct 3	256	125	131
Berwyn Ward 4 Precinct 4	173	85	88
Berwyn Ward 5 Precinct 1	343	194	149
Berwyn Ward 5 Precinct 3	177	85	92
Berwyn Ward 6 Precinct 1	111	53	58
Berwyn Ward 6 Precinct 2	160	63	97
Berwyn Ward 6 Precinct 4	224	95	129
Cicero 5	322	75	247
Cicero 7	108	38	70
Cicero 10	218	57	161
Cicero 11	212	65	147
Cicero 12	219	55	164
Cicero 13	56	18	38
Cicero 14	182	68	114
Cicero 19	294	73	221
Cicero 21	190	86	104
Cicero 22	200	52	148
Cicero 25	204	71	133
Cicero 26	179	47	132
Cicero 27	82	26	56
Cicero 29	196	61	135
Cicero 32	160	66	94
Lyons 2	210	80	130
Lyons 45	340	122	218
Proviso 27	267	109	158
Riverside 1	146	37	109
Riverside 5	178	46	132
Riverside 11	222	76	146
Stickney 17	77	32	45
