Precinct	total_votes	votes|Thaddeus Jones	votes|Corean Davis
09003	128	76	52
09004	122	78	44
09007	151	86	65
09011	148	102	46
09015	123	77	46
09016	190	127	63
09018	141	95	46
09026	151	79	72
09028	91	58	33
09031	5	1	4
09033	141	92	49
09041	160	109	51
09044	158	95	63
09045	150	109	41
Bloom 6	2	2	0
Bloom 7	207	98	109
Bloom 8	141	67	74
Bloom 9	123	62	61
Bloom 10	101	47	54
Bloom 11	97	51	46
Bloom 21	56	24	32
Bloom 24	266	142	124
Bloom 26	0	0	0
Bloom 29	119	43	76
Bloom 33	243	141	102
Bloom 34	179	109	70
Bloom 37	167	99	68
Bloom 45	338	188	150
Bloom 48	234	136	98
Bloom 49	304	187	117
Bloom 60	234	136	98
Thornton 6	339	237	102
Thornton 7	275	169	106
Thornton 8	227	147	80
Thornton 20	106	64	42
Thornton 21	344	242	102
Thornton 22	211	143	68
Thornton 23	237	169	68
Thornton 27	391	238	153
Thornton 34	341	234	107
Thornton 37	196	138	58
Thornton 40	163	111	52
Thornton 41	146	100	46
Thornton 45	225	167	58
Thornton 48	216	151	65
Thornton 53	134	82	52
Thornton 54	397	259	138
Thornton 55	159	118	41
Thornton 64	279	178	101
Thornton 66	418	269	149
Thornton 72	214	160	54
Thornton 73	344	246	98
Thornton 74	202	131	71
Thornton 75	220	174	46
Thornton 76	287	169	118
Thornton 80	253	163	90
Thornton 81	230	178	52
Thornton 82	136	102	34
Thornton 83	289	204	85
Thornton 84	321	204	117
Thornton 86	212	145	67
Thornton 87	349	207	142
Thornton 88	243	169	74
Thornton 89	315	233	82
Thornton 90	284	189	95
Thornton 91	262	170	92
Thornton 92	262	168	94
Thornton 100	121	81	40
Thornton 105	205	144	61
Thornton 112	5	3	2
Thornton 115	210	153	57
Thornton 121	195	136	59
Thornton 122	314	221	93
Thornton 123	176	129	47
