Precinct	total_votes	votes|Iris Y. Martinez	votes|Bart Goldberg
01002	57	52	5
01007	148	100	48
01009	206	176	30
01013	105	84	21
01016	228	181	47
01017	32	27	5
01019	251	190	61
01023	319	252	67
01034	193	146	47
01041	157	120	37
01042	43	32	11
01043	129	95	34
26007	164	143	21
26034	198	166	32
26037	3	3	0
30001	201	138	63
30003	147	112	35
30004	129	95	34
30007	166	97	69
30008	230	180	50
30009	85	60	25
30015	220	106	114
30017	175	120	55
30018	188	139	49
30019	35	32	3
30020	171	114	57
30022	223	155	68
30023	144	109	35
30024	220	187	33
30025	250	211	39
30026	92	66	26
30027	98	85	13
30028	207	151	56
30031	95	68	27
30032	152	105	47
31001	90	84	6
31002	93	58	35
31005	147	111	36
31006	94	79	15
31007	206	152	54
31008	92	77	15
31009	113	96	17
31010	94	75	19
31011	83	57	26
31012	82	67	15
31013	134	118	16
31014	62	53	9
31017	103	80	23
31018	111	88	23
31020	102	88	14
31021	89	77	12
31023	101	81	20
31024	151	129	22
31026	134	107	27
31027	124	107	17
31028	83	67	16
31029	130	104	26
31030	84	65	19
31032	66	49	17
31033	82	64	18
31034	108	79	29
31035	100	82	18
31036	134	110	24
31037	101	75	26
31038	83	68	15
31040	120	97	23
31041	105	95	10
32001	64	58	6
32003	290	219	71
32011	280	203	77
32012	203	157	46
32014	261	178	83
32017	272	177	95
32020	274	205	69
32022	350	270	80
32026	293	204	89
32028	263	201	62
32043	230	187	43
33001	259	203	56
33002	160	127	33
33003	271	210	61
33004	300	227	73
33005	138	113	25
33006	211	170	41
33007	195	154	41
33009	285	228	57
33011	235	178	57
33012	228	173	55
33013	230	184	46
33014	105	78	27
33015	281	222	59
33016	320	248	72
33017	268	218	50
33018	199	163	36
33019	230	186	44
33020	224	179	45
33021	277	218	59
33022	244	176	68
33025	291	219	72
33026	179	139	40
33027	244	193	51
33028	235	169	66
35001	213	169	44
35002	19	15	4
35004	194	137	57
35005	197	158	39
35006	200	152	48
35009	165	130	35
35010	314	249	65
35011	219	161	58
35015	247	189	58
35017	215	170	45
35020	165	139	26
35022	240	182	58
35023	222	164	58
35024	185	129	56
35025	229	174	55
35026	171	119	52
35027	178	137	41
35028	186	134	52
35029	140	107	33
35030	127	95	32
35031	229	177	52
36009	0	0	0
36014	169	93	76
36016	175	104	71
36017	193	124	69
36018	113	72	41
36020	152	98	54
38023	197	104	93
38034	169	110	59
38035	173	115	58
38039	69	47	22
39003	272	130	142
39006	1	1	0
39012	130	99	31
39025	134	102	32
39028	306	185	121
39031	153	112	41
39034	219	163	56
45001	175	108	67
45002	212	146	66
45003	221	120	101
45004	279	151	128
45005	261	98	163
45006	307	123	184
45007	349	172	177
45008	190	128	62
45009	193	131	62
45010	203	120	83
45011	143	101	42
