Precinct	total_votes	votes|Daniel William Lipinski	votes|Marie Newman
11001	236	108	128
11004	222	119	103
11005	284	82	202
11008	208	88	120
11009	183	82	101
11010	210	105	105
11011	233	104	129
11012	338	226	112
11013	309	216	93
11015	104	39	65
11016	169	93	76
11017	294	106	188
11018	198	118	80
11019	288	108	180
11020	168	98	70
11021	373	231	142
11022	273	117	156
11023	182	111	71
11024	360	229	131
11025	268	104	164
11026	322	127	195
11027	87	44	43
11028	92	63	29
11029	326	197	129
11031	260	142	118
11032	138	93	45
11037	0	0	0
12001	226	88	138
12003	238	78	160
12004	235	93	142
12005	73	32	41
12008	5	0	5
12009	172	77	95
12019	172	68	104
12023	227	92	135
13001	202	123	79
13002	221	143	78
13003	156	86	70
13004	214	151	63
13005	231	133	98
13006	237	155	82
13007	145	116	29
13008	165	99	66
13009	174	91	83
13010	203	135	68
13011	236	146	90
13012	170	97	73
13013	222	147	75
13014	167	95	72
13015	308	174	134
13016	128	84	44
13017	187	118	69
13018	169	110	59
13020	125	92	33
13021	228	172	56
13022	236	164	72
13023	148	81	67
13024	197	127	70
13025	181	95	86
13026	182	120	62
13027	207	120	87
13028	161	99	62
13029	153	93	60
13030	173	104	69
13031	242	165	77
13032	185	139	46
13033	229	150	79
13034	307	220	87
13035	216	133	83
13036	119	75	44
13037	253	138	115
13038	200	131	69
13039	204	127	77
13040	210	130	80
13041	161	97	64
13042	238	163	75
13043	229	136	93
13044	240	164	76
13045	265	185	80
13046	226	131	95
13047	198	124	74
13048	219	168	51
14001	289	202	87
14004	257	168	89
14005	16	8	8
14007	196	89	107
14008	198	88	110
14009	281	172	109
14012	224	133	91
14018	100	65	35
14021	187	86	101
14022	259	119	140
14023	173	113	60
14024	303	196	107
14025	0	0	0
14026	143	61	82
14029	178	102	76
15001	163	67	96
15005	42	13	29
15008	59	25	34
15013	132	49	83
15014	124	30	94
15015	72	28	44
15016	167	82	85
15019	176	76	100
16001	90	51	39
16007	5	3	2
16023	109	42	67
16032	138	54	84
16035	58	25	33
18015	215	88	127
18024	159	94	65
18025	179	112	67
18030	186	94	92
18040	234	100	134
18043	135	81	54
18046	220	111	109
19001	261	167	94
19002	57	17	40
19003	157	107	50
19004	282	194	88
19005	112	44	68
19006	254	146	108
19007	259	157	102
19008	226	151	75
19009	205	136	69
19010	341	112	229
19011	197	151	46
19012	188	146	42
19015	273	194	79
19016	256	192	64
19017	232	137	95
19018	268	104	164
19019	373	128	245
19021	195	137	58
19022	316	130	186
19023	282	170	112
19024	190	143	47
19025	208	116	92
19026	304	120	184
19029	202	136	66
19030	195	130	65
19032	240	129	111
19033	218	159	59
19034	264	125	139
19035	298	128	170
19041	214	157	57
19044	239	158	81
19045	273	170	103
19046	297	175	122
19050	205	107	98
19051	330	173	157
19052	227	152	75
19053	268	143	125
19054	160	99	61
19055	193	128	65
19056	315	124	191
19057	229	68	161
20004	17	6	11
20015	68	23	45
20020	1	0	1
22001	131	48	83
22002	256	141	115
22008	270	129	141
22012	185	92	93
22023	269	92	177
23001	211	148	63
23002	191	121	70
23003	216	145	71
23004	231	148	83
23005	175	88	87
23006	188	100	88
23007	148	71	77
23008	229	117	112
23009	76	36	40
23010	215	113	102
23011	175	85	90
23012	216	156	60
23014	198	139	59
23015	113	59	54
23016	230	159	71
23017	65	35	30
23018	174	113	61
23019	92	48	44
23020	92	48	44
23021	236	154	82
23022	187	112	75
23023	209	136	73
23025	168	85	83
23026	185	95	90
23027	196	141	55
23028	195	123	72
23029	184	127	57
23030	212	107	105
23031	70	33	37
23032	173	81	92
23033	171	82	89
23034	90	36	54
23035	136	79	57
23036	198	137	61
23037	219	144	75
23038	172	113	59
23039	10	5	5
Berwyn Ward 1 Precinct 2	204	77	127
Berwyn Ward 1 Precinct 3	309	124	185
Berwyn Ward 1 Precinct 4	225	88	137
Berwyn Ward 2 Precinct 2	198	95	103
Berwyn Ward 2 Precinct 3	283	109	174
Cicero 5	300	167	133
Cicero 6	125	64	61
Cicero 11	189	103	86
Cicero 13	194	124	70
Cicero 20	169	97	72
Lemont 1	144	72	72
Lemont 2	137	99	38
Lemont 3	166	82	84
Lemont 4	176	78	98
Lemont 5	195	83	112
Lemont 6	181	91	90
Lemont 7	164	76	88
Lemont 8	215	96	119
Lemont 9	90	37	53
Lemont 10	135	46	89
Lemont 11	203	99	104
Lemont 12	134	67	67
Lemont 13	155	78	77
Lemont 14	133	75	58
Lyons 1	42	13	29
Lyons 2	227	82	145
Lyons 3	173	83	90
Lyons 4	415	116	299
Lyons 5	215	77	138
Lyons 6	165	69	96
Lyons 7	274	95	179
Lyons 8	136	100	36
Lyons 9	377	109	268
Lyons 10	254	86	168
Lyons 11	260	66	194
Lyons 13	76	28	48
Lyons 14	330	114	216
Lyons 15	345	112	233
Lyons 16	514	124	390
Lyons 18	230	69	161
Lyons 19	204	91	113
Lyons 20	421	152	269
Lyons 21	454	159	295
Lyons 22	137	71	66
Lyons 23	273	129	144
Lyons 24	245	108	137
Lyons 25	211	93	118
Lyons 28	274	106	168
Lyons 29	149	101	48
Lyons 30	66	49	17
Lyons 31	251	89	162
Lyons 32	91	60	31
Lyons 33	90	64	26
Lyons 34	104	45	59
Lyons 35	142	78	64
Lyons 37	145	78	67
Lyons 38	110	67	43
Lyons 39	291	75	216
Lyons 40	230	82	148
Lyons 41	128	74	54
Lyons 42	208	98	110
Lyons 43	252	97	155
Lyons 44	399	173	226
Lyons 45	354	126	228
Lyons 46	163	77	86
Lyons 47	279	95	184
Lyons 48	239	151	88
Lyons 49	159	85	74
Lyons 50	288	98	190
Lyons 51	168	97	71
Lyons 52	250	119	131
Lyons 53	211	91	120
Lyons 54	118	40	78
Lyons 55	246	112	134
Lyons 56	305	156	149
Lyons 57	229	130	99
Lyons 58	111	53	58
Lyons 59	143	69	74
Lyons 60	312	143	169
Lyons 61	223	89	134
Lyons 64	194	105	89
Lyons 65	278	192	86
Lyons 66	138	66	72
Lyons 67	216	79	137
Lyons 68	151	66	85
Lyons 69	361	182	179
Lyons 70	142	61	81
Lyons 71	86	44	42
Lyons 72	355	131	224
Lyons 73	233	89	144
Lyons 74	94	44	50
Lyons 75	138	76	62
Lyons 76	143	72	71
Lyons 77	122	66	56
Lyons 78	140	72	68
Orland 1	229	96	133
Orland 2	208	102	106
Orland 4	131	60	71
Orland 8	162	70	92
Orland 9	207	95	112
Orland 12	70	33	37
Orland 14	17	9	8
Orland 15	200	77	123
Orland 16	134	56	78
Orland 18	249	127	122
Orland 20	73	20	53
Orland 22	172	68	104
Orland 23	158	82	76
Orland 26	164	85	79
Orland 29	201	94	107
Orland 36	225	106	119
Orland 39	148	60	88
Orland 41	148	73	75
Orland 42	215	99	116
Orland 43	187	85	102
Orland 44	135	65	70
Orland 45	173	94	79
Orland 47	219	93	126
Orland 49	115	57	58
Orland 50	70	29	41
Orland 51	224	117	107
Orland 53	215	92	123
Orland 56	133	61	72
Orland 57	172	88	84
Orland 58	191	99	92
Orland 59	170	80	90
Orland 60	136	64	72
Orland 61	153	74	79
Orland 63	184	80	104
Orland 64	220	100	120
Orland 65	166	84	82
Orland 66	172	78	94
Orland 68	105	41	64
Orland 70	191	86	105
Orland 71	168	89	79
Orland 74	128	60	68
Orland 75	210	109	101
Palos 2	140	70	70
Palos 3	160	67	93
Palos 4	128	61	67
Palos 5	146	69	77
Palos 6	76	40	36
Palos 7	190	93	97
Palos 8	74	46	28
Palos 9	65	36	29
Palos 10	192	88	104
Palos 11	160	89	71
Palos 12	179	92	87
Palos 13	149	65	84
Palos 14	122	55	67
Palos 15	176	81	95
Palos 16	246	129	117
Palos 17	228	120	108
Palos 18	205	106	99
Palos 19	252	138	114
Palos 20	206	103	103
Palos 21	126	61	65
Palos 22	40	22	18
Palos 23	112	47	65
Palos 24	98	39	59
Palos 25	253	140	113
Palos 26	84	49	35
Palos 27	216	107	109
Palos 28	138	52	86
Palos 29	175	80	95
Palos 30	244	136	108
Palos 31	205	101	104
Palos 32	89	33	56
Palos 34	135	71	64
Palos 35	263	123	140
Palos 36	201	101	100
Palos 37	194	123	71
Palos 38	197	105	92
Palos 39	210	97	113
Riverside 2	0	0	0
Stickney 1	91	43	48
Stickney 2	155	84	71
Stickney 3	298	163	135
Stickney 4	236	154	82
Stickney 5	260	140	120
Stickney 6	322	179	143
Stickney 7	124	64	60
Stickney 8	168	100	68
Stickney 9	182	112	70
Stickney 10	262	132	130
Stickney 11	246	141	105
Stickney 12	229	145	84
Stickney 13	185	122	63
Stickney 14	259	165	94
Stickney 15	228	139	89
Stickney 16	214	109	105
Stickney 17	138	73	65
Stickney 18	94	56	38
Stickney 19	185	89	96
Stickney 20	179	99	80
Worth 1	107	57	50
Worth 2	225	122	103
Worth 3	237	105	132
Worth 4	269	120	149
Worth 5	257	141	116
Worth 6	202	112	90
Worth 9	174	97	77
Worth 11	251	127	124
Worth 15	141	64	77
Worth 21	299	169	130
Worth 22	181	102	79
Worth 25	267	130	137
Worth 26	165	99	66
Worth 27	194	105	89
Worth 28	139	55	84
Worth 30	238	128	110
Worth 33	165	79	86
Worth 35	230	114	116
Worth 36	274	145	129
Worth 40	253	121	132
Worth 41	166	115	51
Worth 44	122	63	59
Worth 46	257	128	129
Worth 47	112	52	60
Worth 48	179	99	80
Worth 49	133	68	65
Worth 51	129	63	66
Worth 53	222	105	117
Worth 56	235	154	81
Worth 58	237	114	123
Worth 60	140	82	58
Worth 61	176	92	84
Worth 62	150	77	73
Worth 63	212	104	108
Worth 66	149	94	55
Worth 67	81	47	34
Worth 70	293	161	132
Worth 71	140	78	62
Worth 74	123	70	53
Worth 75	282	154	128
Worth 76	104	60	44
Worth 77	248	129	119
Worth 78	265	131	134
Worth 81	67	33	34
Worth 82	201	98	103
Worth 83	107	50	57
Worth 84	245	134	111
Worth 85	228	130	98
Worth 86	265	179	86
Worth 90	242	132	110
Worth 91	131	80	51
Worth 92	224	114	110
Worth 93	126	67	59
Worth 94	240	145	95
Worth 98	267	159	108
Worth 99	111	72	39
Worth 100	249	159	90
