Precinct	total_votes	votes|Patrick Daley Thompson	votes|David Mihalyfy
11001	321	235	86
11002	13	6	7
11003	245	113	132
11004	247	179	68
11005	351	198	153
11006	378	238	140
11007	227	140	87
11008	288	196	92
11009	254	156	98
11010	302	228	74
11011	299	193	106
11012	507	439	68
11013	419	354	65
11014	192	145	47
11015	135	98	37
11016	220	168	52
11017	360	225	135
11018	276	228	48
11019	382	207	175
11020	235	196	39
11021	478	396	82
11022	387	259	128
11023	216	184	32
11024	443	395	48
11025	402	280	122
11026	401	293	108
11027	102	68	34
11028	138	119	19
11029	428	367	61
11030	146	109	37
11031	350	293	57
11032	184	160	24
11033	320	216	104
11034	145	116	29
11035	110	98	12
11036	129	103	26
11037	98	69	29
11038	135	70	65
