Precinct	total_votes	votes|Chuks Onyezia	votes|Derrick G. Curtis
18001	203	75	128
18002	174	64	110
18003	226	85	141
18004	303	98	205
18005	144	27	117
18006	232	76	156
18007	232	76	156
18008	287	103	184
18009	263	86	177
18010	371	137	234
18011	195	67	128
18012	272	69	203
18013	265	80	185
18014	270	77	193
18015	231	81	150
18016	224	71	153
18017	218	75	143
18018	248	63	185
18019	246	65	181
18020	188	34	154
18021	349	148	201
18022	323	129	194
18023	229	63	166
18024	200	77	123
18025	237	93	144
18026	320	124	196
18027	170	39	131
18028	260	124	136
18029	243	82	161
18030	246	94	152
18031	258	70	188
18032	257	71	186
18033	202	29	173
18034	347	110	237
18035	327	125	202
18036	240	65	175
18037	314	121	193
18038	239	74	165
18039	151	37	114
18040	251	90	161
18041	326	117	209
18042	181	49	132
18043	168	65	103
18044	239	90	149
18045	205	66	139
18046	250	90	160
18047	151	43	108
18048	175	38	137
18049	135	29	106
18050	169	43	126
