Precinct	total_votes	votes|Walter Burnett, Jr.	votes|Cynthia D. Bednarz
27001	354	173	181
27002	263	178	85
27003	132	86	46
27004	130	83	47
27005	175	134	41
27006	214	149	65
27007	300	143	157
27008	151	116	35
27009	126	60	66
27010	320	286	34
27011	254	144	110
27012	164	81	83
27013	352	292	60
27014	92	74	18
27015	113	82	31
27016	196	83	113
27017	218	143	75
27018	153	118	35
27019	99	73	26
27020	126	97	29
27021	225	121	104
27022	111	90	21
27023	183	159	24
27024	127	86	41
27025	235	165	70
27026	206	157	49
27027	246	200	46
27028	176	114	62
27029	135	88	47
27030	113	78	35
27031	178	141	37
27032	219	162	57
27033	229	136	93
27034	192	160	32
27035	252	138	114
27036	181	132	49
27037	309	225	84
27038	296	207	89
27039	198	146	52
27040	277	177	100
27041	232	212	20
27042	168	104	64
27043	137	99	38
27044	138	116	22
27045	355	174	181
27046	186	110	76
27047	205	147	58
27048	333	225	108
27049	168	124	44
27050	211	174	37
