Precinct	total_votes	votes|Amanda Yu Dieterich	votes|Carlos Ramirez-Rosa
35001	300	108	192
35002	386	126	260
35003	215	94	121
35004	278	104	174
35005	244	89	155
35006	248	93	155
35007	261	87	174
35008	282	116	166
35009	270	121	149
35010	374	118	256
35011	324	133	191
35012	150	52	98
35013	132	54	78
35014	182	84	98
35015	330	119	211
35016	157	41	116
35017	318	115	203
35018	179	62	117
35019	120	51	69
35020	213	96	117
35021	264	80	184
35022	313	157	156
35023	293	126	167
35024	274	125	149
35025	282	107	175
35026	246	102	144
35027	211	103	108
35028	291	145	146
35029	229	114	115
35030	240	124	116
35031	302	162	140
