Precinct	total_votes	votes|Patricia ''Pat'' Dowell	votes|Alexandria Willis
03001	399	255	144
03002	459	349	110
03003	311	208	103
03004	375	236	139
03005	186	105	81
03006	406	299	107
03007	257	195	62
03008	229	146	83
03009	334	199	135
03010	127	79	48
03011	294	172	122
03012	368	261	107
03013	407	324	83
03014	319	233	86
03015	259	151	108
03016	254	152	102
03017	344	235	109
03018	385	268	117
03019	379	282	97
03020	324	218	106
03021	395	302	93
03022	400	287	113
03023	241	149	92
03024	262	178	84
03025	526	389	137
03026	457	379	78
03027	414	305	109
03028	274	193	81
03029	268	178	90
03030	289	163	126
03031	344	219	125
03032	348	252	96
03033	335	231	104
03034	378	291	87
03035	133	83	50
03036	151	85	66
03037	264	148	116
03038	318	248	70
03039	423	283	140
03040	254	172	82
03041	274	183	91
