Precinct	total_votes	votes|Tim Heneghan	votes|Anthony V. Napolitano
41001	364	85	279
41002	400	98	302
41003	383	102	281
41004	423	156	267
41005	387	161	226
41006	471	193	278
41007	439	148	291
41008	389	103	286
41009	348	107	241
41010	475	199	276
41011	447	136	311
41012	368	109	259
41013	451	113	338
41014	442	195	247
41015	477	207	270
41016	353	89	264
41017	395	128	267
41018	366	85	281
41019	418	148	270
41020	270	80	190
41021	388	121	267
41022	438	117	321
41023	360	55	305
41024	361	77	284
41025	157	52	105
41026	362	97	265
41027	218	45	173
41028	202	86	116
41029	153	52	101
41030	346	86	260
41031	464	165	299
41032	296	86	210
41033	351	88	263
41034	377	89	288
41035	481	109	372
41036	377	105	272
41037	421	149	272
41038	352	100	252
41039	408	158	250
41040	469	121	348
41041	422	69	353
41042	363	126	237
41043	407	72	335
41044	434	113	321
41045	338	78	260
41046	386	97	289
41047	394	134	260
