Precinct	total_votes	votes|Joe Moore	votes|Maria Hadden
49001	207	89	118
49002	242	63	179
49003	426	116	310
49004	460	124	336
49005	429	179	250
49006	338	153	185
49007	327	129	198
49008	293	143	150
49009	382	132	250
49010	398	117	281
49011	440	159	281
49012	473	131	342
49013	407	155	252
49014	342	157	185
49015	235	112	123
49016	357	177	180
49017	257	102	155
49018	502	136	366
49019	283	123	160
49020	568	152	416
49021	201	132	69
49022	382	174	208
49023	466	125	341
49024	267	123	144
49025	486	162	324
49026	425	141	284
49027	381	155	226
49028	515	109	406
49029	454	150	304
49030	430	189	241
49031	298	141	157
49032	347	128	219
49033	316	136	180
