Precinct	total_votes	votes|Sophia King	votes|Ebony D. Lucas
04001	445	250	195
04002	378	294	84
04003	254	182	72
04004	451	292	159
04005	363	209	154
04006	408	291	117
04007	456	286	170
04008	379	242	137
04009	471	299	172
04010	424	267	157
04011	292	189	103
04012	349	205	144
04013	258	193	65
04014	335	205	130
04015	405	264	141
04016	435	309	126
04017	398	292	106
04018	366	232	134
04019	205	127	78
04020	337	225	112
04021	320	228	92
04022	381	276	105
04023	456	339	117
04024	312	244	68
04025	366	291	75
04026	310	225	85
04027	406	273	133
04028	292	175	117
04029	285	165	120
04030	390	227	163
04031	299	183	116
04032	365	217	148
04033	356	211	145
04034	311	190	121
04035	391	260	131
04036	387	243	144
04037	484	350	134
04038	366	228	138
