Precinct	total_votes	votes|Jeanette B Taylor	votes|Nicole J. Johnson
20001	271	200	71
20002	105	64	41
20003	208	145	63
20004	105	65	40
20005	260	161	99
20006	108	41	67
20007	217	149	68
20008	253	170	83
20009	382	222	160
20010	158	113	45
20011	308	179	129
20012	163	86	77
20013	293	116	177
20014	140	89	51
20015	147	92	55
20016	284	172	112
20017	132	80	52
20018	167	120	47
20019	239	157	82
20020	112	77	35
20021	172	87	85
20022	363	163	200
20023	246	155	91
20024	295	199	96
20025	191	109	82
20026	257	138	119
20027	126	66	60
20028	160	109	51
20029	292	147	145
20030	109	42	67
20031	277	192	85
20032	227	110	117
20033	156	105	51
20034	355	241	114
20035	112	78	34
20036	70	38	32
20037	66	34	32
20038	88	35	53
20039	18	11	7
