Precinct	total_votes	votes|Byron Sigcho-Lopez	votes|Alexander Acevedo
25001	290	131	159
25002	336	211	125
25003	290	153	137
25004	235	142	93
25005	369	178	191
25006	125	72	53
25007	304	210	94
25008	332	182	150
25009	297	172	125
25010	353	165	188
25011	306	182	124
25012	317	197	120
25013	342	219	123
25014	197	138	59
25015	260	131	129
25016	312	144	168
25017	359	181	178
25018	351	234	117
25019	343	198	145
25020	190	90	100
25021	390	183	207
25022	296	166	130
25023	365	214	151
25024	330	205	125
25025	290	107	183
25026	337	162	175
25027	220	94	126
25028	321	200	121
25029	263	124	139
25030	326	178	148
25031	338	155	183
25032	254	106	148
