Precinct	total_votes	votes|Ariel E. Reboyras	votes|Jessica W. Gutierrez
30001	264	127	137
30002	295	164	131
30003	236	116	120
30004	259	133	126
30005	169	92	77
30006	249	152	97
30007	301	158	143
30008	340	185	155
30009	234	166	68
30010	304	190	114
30011	215	94	121
30012	232	138	94
30013	257	152	105
30014	166	81	85
30015	322	205	117
30016	153	85	68
30017	278	143	135
30018	285	108	177
30019	230	109	121
30020	291	148	143
30021	234	135	99
30022	317	142	175
30023	243	118	125
30024	336	137	199
30025	325	127	198
30026	195	98	97
30027	199	118	81
30028	285	131	154
30029	135	59	76
30030	107	42	65
30031	217	120	97
30032	219	124	95
