Precinct	total_votes	votes|Michele Smith	votes|Derek Lindblom
43001	218	138	80
43002	349	176	173
43003	348	177	171
43004	302	139	163
43005	317	178	139
43006	210	89	121
43007	248	134	114
43008	244	138	106
43009	375	201	174
43010	439	224	215
43011	264	132	132
43012	216	127	89
43013	311	204	107
43014	449	232	217
43015	321	198	123
43016	297	128	169
43017	262	150	112
43018	391	192	199
43019	372	184	188
43020	381	186	195
43021	309	120	189
43022	203	104	99
43023	195	101	94
43024	266	156	110
43025	309	181	128
43026	295	163	132
43027	359	157	202
43028	380	258	122
43029	332	154	178
43030	335	149	186
43031	349	201	148
43032	323	165	158
43033	374	227	147
43034	259	169	90
43035	374	239	135
43036	128	72	56
43037	269	131	138
43038	316	185	131
43039	236	140	96
43040	195	107	88
43041	416	189	227
43042	281	140	141
43043	345	200	145
43044	306	151	155
43045	248	170	78
43046	163	79	84
