Precinct	total_votes	votes|James Cappleman	votes|Marianne Lalonde
46001	331	169	162
46002	325	185	140
46003	453	193	260
46004	378	249	129
46005	343	154	189
46006	312	159	153
46007	439	280	159
46008	256	137	119
46009	390	212	178
46010	426	179	247
46011	306	153	153
46012	404	175	229
46013	314	182	132
46014	299	128	171
46015	324	206	118
46016	431	219	212
46017	419	237	182
46018	404	227	177
46019	295	171	124
46020	309	163	146
46021	235	113	122
46022	301	57	244
46023	290	131	159
46024	415	204	211
46025	388	181	207
46026	359	147	212
46027	446	191	255
46028	414	240	174
46029	313	185	128
46030	343	158	185
46031	311	121	190
46032	413	192	221
46033	401	193	208
46034	376	176	200
46035	379	226	153
46036	361	203	158
46037	281	124	157
46038	280	140	140
46039	330	142	188
46040	339	177	162
