Precinct	total_votes	votes|Roderick T. Sawyer	votes|Deborah A. Foster-Bonner
06001	324	172	152
06002	302	137	165
06003	325	177	148
06004	197	122	75
06005	161	104	57
06006	323	182	141
06007	238	117	121
06008	309	158	151
06009	224	138	86
06010	149	85	64
06011	233	151	82
06012	156	89	67
06013	228	114	114
06014	261	139	122
06015	194	95	99
06016	321	179	142
06017	167	90	77
06018	174	86	88
06019	248	113	135
06020	144	76	68
06021	127	68	59
06022	150	91	59
06023	131	73	58
06024	140	95	45
06025	132	81	51
06026	161	100	61
06027	156	86	70
06028	120	67	53
06029	330	169	161
06030	206	106	100
06031	308	161	147
06032	257	153	104
06033	283	156	127
06034	271	139	132
06035	249	149	100
06036	344	184	160
06037	327	171	156
06038	309	163	146
06039	222	115	107
06040	262	144	118
06041	282	149	133
06042	261	134	127
06043	232	128	104
06044	245	126	119
06045	299	111	188
06046	182	86	96
06047	179	86	93
06048	274	151	123
