Precinct	total_votes	votes|Frances Ann Hurley	votes|Herbert Hebein
19001	460	331	129
19002	665	587	78
19004	627	394	233
19006	587	347	240
19007	482	371	111
19008	602	352	250
19010	633	535	98
19011	540	308	232
19013	579	553	26
19015	733	432	301
19016	466	292	174
19017	449	309	140
19018	413	349	64
19019	651	553	98
19021	570	332	238
19022	562	462	100
19023	552	394	158
19024	21	15	6
19025	493	373	120
19026	519	404	115
19027	497	445	52
19028	581	554	27
19029	600	346	254
19030	490	276	214
19032	485	335	150
19033	433	254	179
19034	459	374	85
19035	468	389	79
19036	702	646	56
19037	500	463	37
19038	461	418	43
19039	240	224	16
19041	538	315	223
19044	635	392	243
19045	535	388	147
19046	541	372	169
19050	436	327	109
19051	580	440	140
19052	646	378	268
19053	501	390	111
19054	466	244	222
19056	148	125	23
19057	417	377	40
21001	481	468	13
21003	438	420	18
21008	468	443	25
21014	471	456	15
21016	426	405	21
21018	497	487	10
21022	134	129	5
21029	185	182	3
21032	433	420	13
21036	102	100	2
21042	136	131	5
21048	196	184	12
34049	59	56	3
Orland 1	1110	653	457
Orland 2	873	416	457
Orland 3	473	305	168
Orland 4	534	282	252
Orland 7	479	269	210
Orland 8	653	356	297
Orland 9	883	501	382
Orland 10	781	437	344
Orland 12	367	174	193
Orland 16	769	349	420
Orland 18	995	512	483
Orland 20	441	193	248
Orland 22	674	371	303
Orland 25	1105	598	507
Orland 26	616	342	274
Orland 28	528	254	274
Orland 29	1228	574	654
Orland 31	576	308	268
Orland 32	481	262	219
Orland 33	571	293	278
Orland 36	927	552	375
Orland 37	771	410	361
Orland 38	435	235	200
Orland 40	855	455	400
Orland 46	465	258	207
Orland 48	697	387	310
Orland 53	591	329	262
Orland 54	1071	525	546
Orland 55	547	276	271
Orland 56	640	248	392
Orland 64	1052	458	594
Orland 69	437	308	129
Palos 1	162	65	97
Palos 8	338	163	175
Palos 11	23	9	14
Palos 13	312	140	172
Palos 16	950	470	480
Palos 24	388	169	219
Palos 29	749	366	383
Palos 30	654	369	285
Worth 9	780	540	240
Worth 15	950	660	290
Worth 16	604	349	255
Worth 22	581	361	220
Worth 51	501	256	245
Worth 67	497	252	245
Worth 73	465	328	137
Worth 81	532	253	279
Worth 87	616	390	226
Worth 98	148	93	55
