Precinct	total_votes	votes|Martin J. Moylan	votes|Glenn Olofson
41028	577	423	154
41029	440	307	133
41042	5	3	2
Elk Grove 3	751	525	226
Elk Grove 4	711	521	190
Elk Grove 9	613	410	203
Elk Grove 12	430	269	161
Elk Grove 13	644	453	191
Elk Grove 15	570	385	185
Elk Grove 17	632	441	191
Elk Grove 18	915	658	257
Elk Grove 20	699	486	213
Elk Grove 24	604	425	179
Elk Grove 29	604	417	187
Elk Grove 31	451	340	111
Elk Grove 32	477	357	120
Elk Grove 33	412	269	143
Elk Grove 36	519	436	83
Elk Grove 37	444	308	136
Elk Grove 38	493	399	94
Elk Grove 40	618	432	186
Elk Grove 42	570	417	153
Elk Grove 43	623	445	178
Elk Grove 45	540	372	168
Elk Grove 47	821	555	266
Elk Grove 49	833	602	231
Elk Grove 51	866	548	318
Leyden 23	1036	743	293
Maine 3	264	191	73
Maine 6	909	649	260
Maine 7	451	329	122
Maine 8	740	548	192
Maine 9	1075	832	243
Maine 10	478	350	128
Maine 11	461	344	117
Maine 12	424	318	106
Maine 13	684	496	188
Maine 14	799	601	198
Maine 16	478	334	144
Maine 17	675	501	174
Maine 18	550	419	131
Maine 20	404	302	102
Maine 21	784	556	228
Maine 22	779	597	182
Maine 24	879	654	225
Maine 25	729	542	187
Maine 26	641	518	123
Maine 34	776	614	162
Maine 35	745	575	170
Maine 36	587	397	190
Maine 37	643	412	231
Maine 38	496	368	128
Maine 42	899	668	231
Maine 47	688	546	142
Maine 48	738	542	196
Maine 50	587	408	179
Maine 53	613	463	150
Maine 54	649	461	188
Maine 56	829	629	200
Maine 61	397	291	106
Maine 65	436	297	139
Maine 67	862	585	277
Maine 68	460	343	117
Maine 79	628	513	115
Maine 80	534	370	164
Maine 86	486	392	94
Maine 87	411	291	120
Norwood Park 3	745	530	215
Norwood Park 11	920	643	277
Norwood Park 14	539	405	134
