Precinct	total_votes	votes|Jesus ''Chuy'' Garcia	votes|Jesus Solorio
01001	746	646	100
01002	603	542	61
01007	486	423	63
01009	496	425	71
01013	351	308	43
01015	505	416	89
01016	767	677	90
01017	615	551	64
01018	675	623	52
01019	813	742	71
01020	531	487	44
01022	486	424	62
01023	896	805	91
01024	634	565	69
01025	678	603	75
01026	473	416	57
01027	777	646	131
01029	909	788	121
01030	786	700	86
01031	645	561	84
01034	557	505	52
01038	535	464	71
01041	401	368	33
01042	223	194	29
01043	450	388	62
01044	640	566	74
11003	597	539	58
11037	1	1	0
11038	299	258	41
12002	442	384	58
12003	128	102	26
12005	311	233	78
12006	605	511	94
12007	465	429	36
12008	492	412	80
12010	557	521	36
12011	554	488	66
12012	517	440	77
12013	552	476	76
12014	457	423	34
12015	211	195	16
12016	461	416	45
12017	591	521	70
12018	186	170	16
12019	6	3	3
12020	584	527	57
12021	528	450	78
12022	478	439	39
14002	641	537	104
14003	475	431	44
14005	649	586	63
14006	258	237	21
14010	348	283	65
14011	283	243	40
14013	426	351	75
14014	473	430	43
14015	527	483	44
14016	347	297	50
14017	423	361	62
14019	450	396	54
14020	372	323	49
14025	273	238	35
14027	486	397	89
14028	396	334	62
14030	317	298	19
14031	259	223	36
15001	88	80	8
15004	482	440	42
15005	350	319	31
15006	495	433	62
15008	301	271	30
15009	629	567	62
15010	632	553	79
15011	576	498	78
15012	576	501	75
15015	162	136	26
16001	173	162	11
22003	707	624	83
22004	385	353	32
22005	461	410	51
22006	458	424	34
22007	363	341	22
22009	378	352	26
22010	629	561	68
22011	401	369	32
22013	505	459	46
22014	165	151	14
22015	377	340	37
22016	388	348	40
22017	630	554	76
22018	396	363	33
22019	4	4	0
22020	459	420	39
22022	451	400	51
22024	559	504	55
22025	454	417	37
23009	241	215	26
23013	445	386	59
23015	66	56	10
23024	406	348	58
23026	165	143	22
23034	206	175	31
23039	402	357	45
24016	346	319	27
25001	469	420	49
25002	724	671	53
25005	619	542	77
25007	617	566	51
25008	680	636	44
25009	591	550	41
25011	618	559	59
25012	547	484	63
25013	719	675	44
25014	63	55	8
25015	517	444	73
25017	641	578	63
25019	632	594	38
25022	589	542	47
25023	675	605	70
25024	602	556	46
25026	576	522	54
25027	60	50	10
25028	628	578	50
25030	586	526	60
25032	532	441	91
26001	235	217	18
26002	398	349	49
26005	406	374	32
26006	406	369	37
26007	428	395	33
26008	296	262	34
26009	388	348	40
26010	106	94	12
26011	433	373	60
26012	478	427	51
26013	280	253	27
26014	377	337	40
26015	312	271	41
26016	260	221	39
26018	337	292	45
26020	425	367	58
26022	276	237	39
26023	348	315	33
26024	382	346	36
26025	377	346	31
26026	328	299	29
26027	262	228	34
26029	249	211	38
26030	379	355	24
26031	222	182	40
26033	57	50	7
26034	503	449	54
26035	409	369	40
26036	12	10	2
26037	480	437	43
26038	249	214	35
26039	214	180	34
26040	306	266	40
26041	486	444	42
26042	369	331	38
26043	291	266	25
26044	249	226	23
26045	90	81	9
26047	345	304	41
26048	475	431	44
26049	311	275	36
28019	2	2	0
29001	30	27	3
29009	548	432	116
29023	433	321	112
29030	677	589	88
29038	628	475	153
29039	272	201	71
29043	231	207	24
30001	622	509	113
30002	599	455	144
30003	447	380	67
30004	562	421	141
30005	444	386	58
30006	467	389	78
30007	605	497	108
30008	658	560	98
30009	514	397	117
30010	623	513	110
30011	563	489	74
30012	541	443	98
30013	565	446	119
30014	442	382	60
30015	132	109	23
30016	332	261	71
30017	250	189	61
30018	690	622	68
30019	585	504	81
30020	618	492	126
30022	807	715	92
30023	696	584	112
30024	830	727	103
30025	819	707	112
30026	362	289	73
30027	419	335	84
30028	554	479	75
30029	405	343	62
30030	247	213	34
30031	370	295	75
30032	460	395	65
31001	370	321	49
31002	333	293	40
31003	377	296	81
31004	473	426	47
31005	394	323	71
31006	279	243	36
31007	564	517	47
31008	341	287	54
31009	420	360	60
31010	440	395	45
31011	335	274	61
31012	342	259	83
31013	426	364	62
31014	372	304	68
31015	401	317	84
31016	461	416	45
31017	364	299	65
31018	366	321	45
31019	354	289	65
31020	340	273	67
31021	344	299	45
31022	343	311	32
31023	406	337	69
31024	404	354	50
31025	375	303	72
31026	409	327	82
31027	432	349	83
31028	338	276	62
31029	371	312	59
31030	316	283	33
31031	332	260	72
31032	320	273	47
31033	372	307	65
31034	401	325	76
31035	462	395	67
31036	404	342	62
31037	373	321	52
31038	349	305	44
31039	432	382	50
31040	438	390	48
31041	360	313	47
32001	0	0	0
32003	738	659	79
32011	620	566	54
32012	493	458	35
32014	732	666	66
32016	36	27	9
32017	660	596	64
32020	644	593	51
32022	822	740	82
32026	706	638	68
32028	677	611	66
32043	620	543	77
33001	741	655	86
33003	912	816	96
33004	956	813	143
33006	630	544	86
33007	249	222	27
33008	370	329	41
33009	797	654	143
33010	533	449	84
33011	731	613	118
33012	728	627	101
33013	684	602	82
33014	346	303	43
33015	719	644	75
33016	995	842	153
33017	740	615	125
33019	493	417	76
33020	888	798	90
33021	741	659	82
33022	670	552	118
33023	717	625	92
33025	845	723	122
33026	550	505	45
33027	828	701	127
33028	643	591	52
35001	645	574	71
35002	616	539	77
35003	552	483	69
35004	610	508	102
35005	533	475	58
35006	628	580	48
35007	641	591	50
35008	610	554	56
35009	578	490	88
35010	700	646	54
35011	702	633	69
35012	452	394	58
35013	469	418	51
35014	500	451	49
35015	727	657	70
35016	363	323	40
35017	639	582	57
35018	415	364	51
35019	410	362	48
35020	632	553	79
35021	623	577	46
35022	729	648	81
35023	635	547	88
35024	546	488	58
35025	626	567	59
35026	520	432	88
35027	569	500	69
35028	582	519	63
35029	608	505	103
35030	607	514	93
35031	649	535	114
36001	519	426	93
36002	515	449	66
36003	451	371	80
36004	561	485	76
36006	474	398	76
36008	433	379	54
36009	510	424	86
36010	667	517	150
36011	376	314	62
36012	361	308	53
36013	392	344	48
36016	155	120	35
36019	662	539	123
36020	311	238	73
36021	354	298	56
36022	468	414	54
36023	481	408	73
36024	85	67	18
36025	533	475	58
36027	482	381	101
36029	295	215	80
37026	1	1	0
38001	527	409	118
38035	307	232	75
38041	514	424	90
39006	5	5	0
39012	237	195	42
39025	11	8	3
39028	348	311	37
39031	501	405	96
45001	482	412	70
45002	594	531	63
45008	571	455	116
45009	599	461	138
45010	608	443	165
Berwyn Ward 1 Precinct 1	519	400	119
Berwyn Ward 1 Precinct 5	504	381	123
Berwyn Ward 2 Precinct 1	381	302	79
Berwyn Ward 2 Precinct 4	1,029	832	197
Berwyn Ward 3 Precinct 1	595	468	127
Berwyn Ward 3 Precinct 2	444	327	117
Berwyn Ward 3 Precinct 3	496	398	98
Berwyn Ward 3 Precinct 4	644	499	145
Berwyn Ward 3 Precinct 5	791	617	174
Berwyn Ward 4 Precinct 1	458	363	95
Berwyn Ward 4 Precinct 2	681	553	128
Berwyn Ward 4 Precinct 3	825	677	148
Berwyn Ward 4 Precinct 4	415	332	83
Berwyn Ward 5 Precinct 1	985	831	154
Berwyn Ward 5 Precinct 2	600	507	93
Berwyn Ward 5 Precinct 3	527	427	100
Berwyn Ward 6 Precinct 1	336	270	66
Berwyn Ward 6 Precinct 3	374	308	66
Berwyn Ward 6 Precinct 4	555	476	79
Berwyn Ward 8 Precinct 2	663	544	119
Berwyn Ward 8 Precinct 3	361	304	57
Cicero 1	814	735	79
Cicero 2	366	316	50
Cicero 3	479	417	62
Cicero 4	571	508	63
Cicero 6	228	189	39
Cicero 7	398	356	42
Cicero 8	336	285	51
Cicero 9	661	578	83
Cicero 10	690	600	90
Cicero 12	490	399	91
Cicero 14	577	473	104
Cicero 15	680	587	93
Cicero 16	503	424	79
Cicero 17	750	664	86
Cicero 18	444	400	44
Cicero 19	847	711	136
Cicero 21	622	534	88
Cicero 22	509	434	75
Cicero 23	825	698	127
Cicero 24	759	677	82
Cicero 25	570	487	83
Cicero 26	475	397	78
Cicero 27	724	629	95
Cicero 28	661	581	80
Cicero 29	617	540	77
Cicero 30	517	470	47
Cicero 31	478	407	71
Cicero 32	513	442	71
Leyden 26	1,121	650	471
Oak Park 33	6	4	2
Proviso 3	401	341	60
Proviso 6	551	330	221
Proviso 7	94	71	23
Proviso 10	568	499	69
Proviso 11	595	488	107
Proviso 12	751	554	197
Proviso 13	753	557	196
Proviso 14	482	364	118
Proviso 15	611	529	82
Proviso 16	667	542	125
Proviso 25	394	250	144
Proviso 27	814	563	251
Proviso 28	857	569	288
Proviso 29	946	672	274
Proviso 30	17	14	3
Proviso 32	860	586	274
Proviso 54	1,164	763	401
Proviso 63	857	557	300
Proviso 71	810	661	149
Proviso 75	797	560	237
Proviso 78	277	206	71
Proviso 80	502	418	84
Proviso 85	473	335	138
Proviso 87	727	503	224
Proviso 88	356	311	45
Proviso 89	548	382	166
Proviso 90	1,158	838	320
Proviso 95	513	393	120
Proviso 97	1,023	627	396
Proviso 98	696	450	246
Proviso 100	922	549	373
Proviso 102	394	243	151
River Forest 1	1,154	737	417
Riverside 1	886	548	338
Riverside 2	72	42	30
Riverside 3	514	359	155
Riverside 4	1,015	679	336
Riverside 5	533	367	166
Riverside 6	672	432	240
Riverside 7	579	369	210
Riverside 8	924	627	297
Riverside 9	651	422	229
Riverside 10	900	598	302
Riverside 11	966	631	335
Riverside 12	549	358	191
Riverside 13	855	562	293
