Precinct	total_votes	votes|Brandon Johnson (Warren)	votes|Jamie Brown (Warren)	votes|Frederick ''Fritz'' Kaegi (Warren)	votes|Mony Ruiz Velasco (Warren)	votes|Marlon D. Harris (Warren)	votes|Harlene Ellin (Warren)	votes|Mihir Garud (Warren)	votes|Benetta Mansfield (Warren)	votes|Mary Ann Abbott (Yang)	votes|David Hernandez (Yang)	votes|Elizabeth Henricks (Yang)	votes|Steven Dyme (Yang)	votes|Yvonne O'Connor (Yang)	votes|Peter Wojda IV (Yang)	votes|Rudyard ''Rudy'' Urian (Yang)	votes|Marty Castro (Buttigieg)	votes|Eric Davis (Buttigieg)	votes|Thomas Gary (Buttigieg)	votes|Marla Izbicky (Buttigieg)	votes|Amalia Mahoney (Buttigieg)	votes|Cristal Thomas Gary (Buttigieg)	votes|Melissa Conyears-Ervin (Biden)	votes|Pat Quinn (Biden)	votes|Emma M. Mitts (Biden)	votes|Brendan Reilly (Biden)	votes|Patricia Dowell (Biden)	votes|Rory Hoskins (Biden)	votes|Barbara McGowan (Biden)	votes|Marcelino Garcia (Biden)	votes|Claudia Moreno-Nunez (Sanders)	votes|Julie Lehrman (Sanders)	votes|Martese Luzette Chism (Sanders)	votes|Ojus Khanolkar (Sanders)	votes|Dominique Coronel (Sanders)	votes|Miguel Bautista (Sanders)	votes|Ronald Lawless (Sanders)	votes|Tim Thomas (Sanders)	votes|Barton Moy (Klobuchar)	votes|Gail M. Silver (Klobuchar)	votes|Joan L. Long (Klobuchar)	votes|Addison Woodward (Klobuchar)	votes|Ann Henstrand (Klobuchar)	votes|Jennifer Vincent (Klobuchar)	votes|Markayle Tolliver (Klobuchar)	votes|Thomas A. (Tom) Ciavarella (Klobuchar)
25027	2098	20	25	20	19	20	17	19	21	6	8	6	4	6	2	6	12	10	11	11	13	12	109	133	138	137	136	129	133	135	108	101	93	90	93	93	90	86	5	2	3	2	4	3	3	4
25029	1339	24	26	8	11	24	13	9	17	13	10	5	5	8	5	5	6	15	5	4	5	6	62	81	80	63	78	64	80	64	73	66	60	62	67	65	59	62	3	6	4	1	5	5	1	4
25031	2885	26	22	16	16	15	20	13	15	9	12	8	8	3	2	3	14	12	10	15	11	14	217	230	260	247	249	242	246	233	90	84	78	76	83	82	81	75	8	7	4	8	6	6	5	4
26001	887	7	12	8	9	8	8	7	9	2	4	1	1	2	1	3	6	4	2	2	2	1	16	19	21	17	20	17	20	18	88	81	80	78	78	81	75	69	2	2	0	0	1	3	2	0
26003	1829	19	17	16	19	12	17	14	16	5	9	1	0	0	3	1	16	12	7	7	10	6	41	45	53	52	51	48	53	53	167	155	150	148	152	154	144	139	2	4	4	2	2	2	1	0
26004	790	16	7	5	18	9	6	6	7	3	13	6	0	1	1	0	11	7	2	0	1	1	21	31	46	31	29	29	31	45	62	48	48	43	53	61	42	42	1	0	1	0	1	2	2	1
26010	923	9	8	6	9	5	7	4	9	1	5	2	1	0	0	0	4	2	2	2	2	1	10	17	19	20	19	18	18	18	100	87	88	86	92	88	80	78	1	3	1	0	1	0	0	0
26017	1269	16	17	10	4	6	9	10	9	7	9	5	4	7	3	2	11	7	7	6	5	4	63	68	79	79	81	75	81	72	67	67	61	63	66	61	57	48	4	4	4	3	3	4	1	0
26019	737	5	12	4	13	9	3	3	8	6	14	2	3	9	3	3	6	4	1	1	2	1	24	33	40	33	35	29	34	33	54	44	40	39	44	46	39	34	4	2	3	2	4	4	2	3
26021	1757	27	23	24	20	20	22	20	18	7	7	3	2	3	5	1	7	9	6	8	7	6	37	55	55	46	53	51	51	50	148	138	137	137	147	142	135	119	0	2	2	1	2	3	0	1
26027	778	9	8	13	6	7	6	7	8	5	2	3	1	4	2	0	1	0	1	0	1	0	10	14	16	16	16	14	16	20	80	75	72	70	71	73	64	63	1	1	1	0	0	1	0	0
26028	988	15	15	17	18	11	15	14	12	2	6	2	2	2	2	2	11	5	7	3	2	1	39	46	48	46	49	46	46	42	62	58	54	54	56	58	54	50	1	4	4	0	1	4	1	1
26033	1690	15	18	8	15	8	13	6	14	6	9	8	6	3	3	4	6	3	0	0	3	2	30	38	49	42	42	43	40	41	169	152	152	148	155	153	140	130	0	1	2	2	2	4	1	4
26036	1429	18	15	16	21	15	20	17	18	9	7	8	5	6	3	6	9	5	2	6	6	3	33	41	50	38	48	39	40	41	121	104	108	105	109	113	102	100	3	5	3	3	2	3	2	1
26039	1071	6	5	4	4	4	6	6	5	3	5	3	1	2	1	1	7	4	5	3	6	2	14	20	21	21	22	20	21	21	112	105	104	99	105	103	95	91	2	2	2	1	2	2	1	2
26045	435	3	4	4	5	4	5	2	4	1	8	3	0	3	0	2	7	1	0	1	2	1	10	18	18	14	14	12	12	15	46	30	31	28	29	34	29	26	0	2	3	0	1	0	1	2
26046	1035	15	10	14	15	9	13	7	11	2	4	2	0	0	0	2	10	4	3	2	3	6	35	42	42	40	44	37	41	41	79	76	69	70	68	76	65	63	2	4	1	1	2	2	2	1
27001	2656	34	32	39	35	27	26	24	26	16	12	13	7	4	4	4	11	11	12	18	9	9	124	138	161	155	167	159	159	156	143	140	130	126	125	129	119	114	5	9	4	5	5	4	3	3
27002	1428	14	13	11	9	8	8	6	10	6	8	7	5	3	4	5	10	9	6	8	5	10	96	107	126	112	116	103	114	104	52	49	43	39	45	45	40	40	5	4	5	4	3	4	2	5
27003	754	13	7	8	5	8	6	2	8	1	3	3	0	0	2	2	2	3	0	1	7	0	38	40	71	54	59	49	55	45	38	30	31	31	35	31	28	28	1	1	1	1	1	3	1	1
27004	870	14	4	5	3	5	5	1	3	8	5	7	5	10	2	3	3	3	1	1	5	2	38	46	52	39	51	42	43	38	58	52	51	48	54	53	52	49	1	1	2	0	0	2	1	2
27005	1153	27	27	13	19	14	19	11	14	9	9	7	13	5	5	3	3	2	3	2	1	4	65	72	86	75	78	75	77	68	52	44	42	39	45	39	40	38	0	1	0	1	1	0	2	3
27006	1701	33	33	26	25	26	33	26	26	16	13	10	12	9	4	10	11	15	9	8	9	10	79	108	117	101	107	103	111	102	69	67	58	54	65	58	53	54	5	6	6	4	2	3	2	3
27008	1029	31	19	12	9	17	14	8	14	6	13	4	8	2	3	4	4	3	3	1	4	1	62	69	80	71	75	67	75	68	38	37	30	32	35	36	27	28	1	2	2	5	1	3	0	5
27009	868	11	8	8	8	6	8	7	11	8	4	8	5	7	5	5	6	1	1	3	5	4	54	59	64	59	62	56	63	57	38	34	31	33	33	30	27	25	3	2	3	2	2	2	0	0
27010	1499	51	25	21	21	28	19	8	15	13	14	8	13	11	5	4	6	7	6	6	6	4	79	93	110	102	116	91	108	85	60	48	43	45	49	52	45	45	6	4	3	2	4	7	4	7
27011	1454	13	12	9	12	9	14	12	15	6	7	4	3	3	2	3	9	8	9	9	11	10	87	99	106	105	105	100	106	103	58	54	54	55	54	61	53	50	3	4	4	1	4	5	1	2
27013	1633	32	23	17	15	23	15	12	18	9	11	11	3	4	2	5	7	8	4	5	7	8	92	126	151	138	146	132	131	119	65	43	43	37	45	40	35	32	2	3	1	4	4	3	0	2
27014	562	14	15	7	4	6	6	4	7	1	3	3	1	1	1	2	1	2	1	1	0	1	30	36	48	44	46	39	46	39	21	22	18	16	19	16	16	17	0	1	1	1	1	1	1	2
27015	689	18	9	7	14	8	11	6	11	4	4	3	1	4	3	2	3	3	4	2	4	3	47	56	58	45	54	41	50	41	28	19	19	18	24	18	20	21	0	2	2	0	0	0	0	2
27016	1552	13	10	15	12	11	14	14	17	9	6	11	4	5	5	4	16	12	14	13	11	13	93	101	103	102	101	95	102	97	72	66	63	62	61	67	60	56	3	3	2	3	5	2	2	2
27017	1558	35	20	18	17	19	13	13	20	8	8	7	6	4	4	8	5	6	5	3	3	3	88	96	98	91	98	87	98	83	84	72	69	61	81	74	69	63	4	3	3	3	2	4	2	0
27018	972	20	16	11	7	11	11	5	12	12	7	14	5	13	6	6	6	3	5	3	3	4	49	80	76	65	69	60	61	58	37	40	33	28	38	33	25	32	0	1	1	1	0	3	0	2
27019	670	14	10	8	6	4	7	6	6	10	8	5	2	9	2	4	4	5	2	0	1	1	31	29	40	25	31	27	31	27	42	41	37	38	40	42	33	32	3	1	2	0	1	3	0	0
27020	727	15	13	5	11	8	6	6	6	6	10	3	4	7	2	3	2	4	6	1	1	1	32	57	42	35	41	39	39	36	38	36	29	31	42	33	34	31	1	4	1	1	2	1	1	1
27021	1566	19	21	16	15	13	19	18	15	10	6	9	8	5	2	5	13	8	5	10	10	8	106	117	139	133	138	122	134	124	40	40	37	33	37	34	35	31	2	7	5	2	5	6	1	3
27022	757	17	16	10	11	14	14	4	8	4	8	6	6	5	2	4	0	3	4	2	1	2	39	47	63	51	58	46	53	44	30	28	25	22	29	29	23	22	2	0	2	2	0	1	0	0
27023	1038	30	15	9	10	16	9	7	9	3	2	4	3	3	2	1	5	4	2	2	0	1	65	67	83	70	69	60	67	61	46	40	44	43	48	49	39	42	1	1	1	0	2	1	0	2
27024	780	13	15	10	17	7	9	7	8	5	4	4	2	2	3	2	6	5	1	3	2	0	47	50	53	44	43	43	45	45	40	36	35	29	33	38	30	30	2	1	1	3	1	2	2	2
27025	1577	25	23	17	19	20	16	13	15	5	8	5	4	8	3	3	11	6	4	4	7	10	86	103	114	100	106	99	101	94	73	71	67	67	60	60	59	56	5	5	3	4	4	5	4	5
27026	1121	17	14	7	10	10	6	5	10	5	4	3	2	3	2	1	2	5	2	3	3	3	73	72	85	75	80	66	72	65	54	50	47	49	55	52	49	44	2	4	2	1	1	5	0	1
27027	1665	29	28	17	26	19	22	23	20	13	7	10	5	13	2	7	10	5	4	6	6	10	91	100	127	110	123	109	120	106	71	66	55	51	63	56	60	51	6	2	2	1	2	4	4	3
27028	1371	18	13	12	14	8	10	7	10	6	7	4	4	2	1	3	9	8	4	3	5	6	75	92	103	98	102	102	98	92	59	57	56	55	55	58	50	50	1	0	0	5	0	3	2	4
27029	836	13	8	11	6	6	6	3	5	6	5	5	3	4	0	2	5	2	3	3	1	0	48	48	59	52	55	51	58	54	45	39	33	34	40	41	33	38	1	2	4	0	0	3	1	0
27030	777	26	16	10	11	13	8	11	10	6	2	4	1	3	0	3	1	1	1	2	1	3	44	50	66	50	60	50	59	44	30	31	21	21	30	30	27	25	0	2	2	0	0	0	1	1
27031	1079	16	18	12	10	9	11	8	4	7	8	3	3	6	1	1	4	5	3	2	2	1	57	51	76	56	64	53	58	53	62	63	56	57	62	63	53	50	3	4	0	0	2	0	1	1
27032	1545	19	13	13	5	9	13	7	7	13	13	8	6	8	5	7	7	6	6	7	6	5	72	82	101	88	99	88	93	86	92	88	70	78	79	80	71	73	2	2	2	4	3	6	1	2
27033	1811	23	21	16	17	16	16	14	20	9	13	8	5	8	6	5	8	8	6	10	6	5	110	122	142	133	139	126	138	126	73	71	59	61	72	66	60	53	5	5	1	1	0	2	4	2
27034	797	12	8	3	3	9	5	3	2	4	7	3	2	3	3	2	3	4	2	3	2	1	56	59	79	61	64	61	72	57	33	29	20	20	24	23	22	18	2	1	3	2	1	2	3	1
27035	1956	32	32	37	31	34	34	30	36	13	16	11	8	9	9	6	12	13	15	14	11	12	79	91	99	96	102	94	95	91	108	104	101	92	99	94	84	82	5	4	5	5	4	4	1	2
27036	1297	16	21	12	12	14	15	11	12	4	4	3	2	4	1	1	2	7	0	2	0	3	63	80	80	74	79	77	78	78	73	73	65	63	70	67	63	54	1	3	3	0	2	5	0	0
27037	1355	24	24	25	22	22	22	18	10	9	6	10	4	6	4	5	4	11	3	6	6	3	82	96	105	99	105	97	105	96	45	39	37	40	37	39	34	30	4	4	3	4	2	4	1	3
27038	1988	42	27	17	20	22	23	17	26	9	6	10	6	4	3	4	8	10	4	5	3	6	105	122	152	144	143	138	153	136	84	72	67	74	72	78	67	67	2	8	7	3	4	6	5	7
27039	1236	24	14	11	12	15	11	10	13	10	8	7	4	2	1	3	3	7	2	4	1	1	71	79	100	87	95	88	95	89	52	51	46	38	47	41	37	34	2	5	5	2	2	1	3	3
27040	1866	20	22	17	18	13	16	14	18	8	10	6	3	6	3	3	10	5	8	10	12	10	80	103	100	100	106	94	102	95	120	108	99	99	101	110	96	95	2	3	4	5	4	3	2	3
27041	1428	39	33	18	18	27	17	17	24	9	10	7	9	10	4	3	2	11	6	6	7	7	68	92	110	90	107	91	98	87	64	61	41	37	41	36	37	39	4	6	5	2	6	10	3	9
27042	465	6	6	4	2	5	5	5	5	4	3	2	3	0	1	1	2	4	2	1	1	1	30	36	39	40	41	39	38	33	15	14	13	10	13	12	11	11	0	1	0	3	1	1	0	1
27043	994	16	10	8	5	7	6	6	3	6	3	5	1	5	3	4	4	2	2	3	1	0	58	74	83	77	78	73	76	71	41	41	34	35	34	34	34	33	2	2	3	3	2	2	0	4
27044	958	12	12	4	5	5	4	4	6	4	5	6	5	4	1	2	3	3	3	2	2	1	58	59	72	62	65	63	69	62	45	44	44	41	44	41	42	42	2	5	2	0	0	1	1	1
27045	3496	37	32	31	30	22	28	27	29	12	10	11	11	9	1	4	18	15	16	18	22	15	211	226	253	245	251	229	249	228	174	153	143	138	140	141	133	129	9	10	5	8	6	5	7	5
27047	1078	28	18	14	9	18	15	10	10	4	10	7	3	8	1	1	8	12	3	2	5	8	55	82	81	71	85	66	81	69	44	44	27	34	30	34	31	28	4	7	1	2	3	2	2	1
27048	2394	35	30	23	23	23	21	21	25	11	10	12	7	10	6	9	11	10	4	8	13	16	138	160	165	149	159	149	156	145	113	104	99	98	107	103	95	89	1	5	8	6	3	4	5	5
27049	1204	27	20	10	9	15	11	7	9	6	2	4	4	7	0	1	1	10	2	1	0	4	76	90	97	87	89	80	87	79	51	46	40	40	49	45	44	40	6	2	0	0	1	2	0	3
27050	1278	27	15	10	10	12	11	5	12	10	7	7	6	6	11	3	2	11	4	3	3	1	87	93	95	90	98	82	84	85	49	47	46	43	52	44	47	39	3	3	3	0	1	5	2	4
28001	672	19	8	7	5	9	4	3	7	6	5	2	4	3	0	2	1	4	3	0	2	1	33	41	61	51	57	46	54	45	27	24	23	21	27	23	23	18	0	1	0	0	0	1	0	1
28002	1119	22	18	13	8	15	9	8	8	6	7	7	5	7	2	5	3	7	1	3	4	5	61	67	63	57	59	56	62	55	57	56	51	52	63	55	53	53	3	2	8	4	3	5	6	5
28003	903	10	8	6	4	2	4	2	5	8	5	4	2	4	5	3	1	3	2	0	1	0	66	62	68	58	63	61	64	62	42	40	39	37	41	39	38	39	0	0	1	0	0	1	1	2
28004	1180	9	5	8	5	5	6	4	7	6	5	5	7	3	5	7	2	3	0	2	1	0	54	60	65	63	66	65	67	62	76	73	71	73	74	74	67	67	1	4	1	1	1	0	0	0
28005	964	29	20	15	13	22	12	18	17	8	5	6	2	2	1	6	5	1	1	2	4	4	45	61	62	58	60	54	65	65	34	41	33	35	38	37	34	36	2	2	1	1	3	2	2	0
28006	694	8	9	9	8	10	8	6	6	5	3	1	2	1	0	1	6	3	3	3	3	2	42	51	47	47	45	46	47	47	32	27	25	26	25	28	23	26	1	1	1	2	3	2	1	2
28007	1042	32	16	8	6	12	9	9	10	3	7	6	5	2	2	5	4	3	5	2	0	0	89	88	93	81	91	79	85	75	27	24	25	21	31	26	26	26	0	0	2	1	1	1	1	3
28008	1428	11	10	9	7	7	7	9	10	5	3	1	1	2	1	2	11	5	6	8	8	8	85	93	109	107	107	99	103	103	68	63	57	59	60	61	58	56	1	1	2	2	1	1	0	1
28009	976	15	16	11	6	12	13	7	15	5	7	5	3	5	1	3	1	6	0	1	4	3	79	89	101	86	90	78	89	78	23	17	15	17	18	12	14	15	1	6	3	2	1	1	0	2
28010	1643	13	15	13	13	9	17	12	14	8	11	8	8	8	5	5	3	7	9	6	5	3	80	85	102	84	95	89	90	91	98	90	88	86	88	88	82	82	3	3	3	3	6	8	3	4
28011	2994	46	37	25	34	32	30	28	29	17	29	14	11	12	11	9	18	11	8	7	9	11	108	119	116	108	117	101	122	125	223	199	200	200	215	218	179	188	5	5	5	2	0	6	1	4
28012	918	20	18	5	2	8	3	4	6	4	3	3	1	3	1	1	0	3	1	0	1	0	74	76	94	77	87	79	88	73	27	23	23	17	24	23	18	18	2	2	2	0	2	2	0	0
28013	1196	37	25	15	7	18	14	5	15	7	10	5	12	5	5	2	3	4	4	3	5	4	91	90	116	91	96	86	103	92	33	28	22	21	24	29	27	21	4	3	4	2	1	1	2	4
28014	993	16	12	8	6	9	4	3	4	6	1	8	2	5	1	0	2	7	1	4	1	3	77	85	114	90	91	90	96	83	23	17	15	18	20	23	20	16	1	1	3	0	4	2	1	0
28015	295	6	7	3	3	5	5	2	6	3	4	4	4	3	0	1	2	2	0	1	3	2	22	24	30	26	25	25	25	22	9	3	5	1	1	3	3	2	0	0	0	1	0	2	0	0
28016	619	17	8	3	1	4	2	5	4	4	3	5	0	5	2	3	1	2	2	1	0	2	45	49	56	44	47	40	48	42	23	21	24	17	29	20	20	17	1	1	0	1	0	0	0	0
28017	935	11	14	8	3	10	5	5	6	3	2	7	1	5	2	2	0	3	5	4	1	1	80	70	84	71	77	71	84	68	34	25	27	25	31	24	27	27	1	3	0	2	1	2	1	2
28018	1044	14	17	13	7	13	6	5	12	8	4	8	5	5	5	1	4	6	7	2	2	6	75	88	94	78	90	78	87	69	32	31	26	22	37	24	23	25	3	3	2	2	3	1	0	1
28019	1135	13	15	12	14	9	8	8	5	4	8	9	2	2	4	2	7	4	3	4	2	3	51	49	44	45	50	46	47	47	84	84	75	76	71	75	68	67	3	2	2	2	4	1	1	3
28020	1029	29	22	11	12	14	12	14	15	6	4	4	7	3	3	4	2	7	4	1	5	1	75	70	87	72	77	74	83	74	33	28	24	26	27	30	27	24	2	1	2	4	0	2	5	2
28021	983	17	12	8	2	7	5	5	5	8	6	2	4	3	1	0	2	3	4	1	1	1	82	76	112	83	94	83	94	85	27	24	20	23	23	19	16	16	2	0	0	2	1	1	1	2
28022	1404	24	19	13	12	18	14	15	18	8	7	8	12	7	4	3	1	5	3	4	5	3	69	72	78	66	70	62	73	62	83	76	78	72	83	87	81	81	0	1	0	1	2	1	1	2
28023	1431	19	20	9	7	5	9	3	7	6	6	7	6	10	5	1	5	11	6	4	3	6	120	115	135	114	133	118	128	119	39	43	28	29	38	33	29	26	0	7	4	1	4	6	3	4
28024	884	14	11	6	8	14	4	5	9	8	10	6	5	2	0	1	4	6	1	1	5	3	63	64	85	72	77	69	76	69	33	23	22	21	19	23	17	17	0	0	0	0	2	3	2	4
28025	1787	32	22	13	7	14	8	8	14	8	7	10	6	6	4	0	8	11	8	2	3	6	147	132	161	135	150	133	152	128	50	56	53	52	66	58	51	44	3	3	1	3	2	3	3	4
28026	931	20	16	5	5	17	8	5	5	8	4	8	3	5	0	1	3	6	2	3	0	1	81	73	105	84	87	74	82	75	21	19	16	11	18	17	14	13	1	3	2	1	1	2	1	5
28027	1490	22	19	20	18	14	27	18	18	8	7	6	7	4	3	5	8	4	4	4	5	2	63	73	80	78	74	73	76	71	89	79	77	77	80	83	74	71	11	6	6	5	4	7	4	6
28028	1966	19	13	18	19	16	20	16	26	10	11	8	7	4	4	2	12	7	7	7	6	10	100	111	116	112	116	104	121	114	105	100	97	95	102	99	95	90	5	8	6	4	5	7	5	7
28029	534	6	5	5	3	7	4	3	4	5	1	4	2	2	0	0	0	2	1	1	1	1	34	44	50	44	43	43	51	43	19	17	16	13	16	17	12	11	0	1	1	2	0	0	0	0
28030	247	2	2	1	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	1	22	22	27	23	22	24	22	23	9	6	4	5	5	7	6	6	0	0	0	0	0	0	0	0
28031	1373	20	15	6	7	13	8	5	8	13	10	8	8	11	3	8	7	9	2	8	5	5	90	110	137	114	118	114	125	113	36	33	27	27	32	32	28	24	1	3	7	5	5	8	0	5
28032	1072	13	14	11	4	9	4	5	6	6	2	2	2	3	1	5	2	3	2	1	0	1	83	84	101	86	98	89	90	82	39	35	35	33	29	30	29	28	0	0	1	1	0	2	0	1
28033	1130	26	9	3	2	13	5	4	8	4	5	6	3	3	0	1	2	5	3	0	2	4	89	89	115	96	100	93	101	89	40	36	30	29	28	29	28	24	1	0	1	1	1	2	0	0
28034	1852	25	21	18	16	15	9	8	10	9	15	4	4	5	4	7	6	6	6	3	6	2	128	126	153	140	143	135	142	128	85	64	65	60	74	71	60	58	1	2	4	1	3	3	2	5
28035	1112	19	16	6	6	11	5	4	6	10	1	3	2	3	0	3	4	7	1	1	1	2	72	77	96	79	84	77	85	71	44	43	44	42	46	46	41	35	4	2	2	4	1	1	1	4
28036	634	14	11	6	2	8	5	3	0	3	2	4	4	1	3	1	0	2	0	2	1	0	53	54	54	50	55	47	53	43	22	20	20	16	19	19	12	16	1	2	0	1	1	1	0	3
28037	1315	31	18	9	11	10	12	9	9	11	7	6	4	6	1	2	5	6	6	3	3	2	111	116	124	112	113	105	112	105	31	28	22	26	37	28	29	22	3	6	1	3	0	3	3	4
28038	366	10	3	1	3	2	0	1	3	2	2	2	1	0	0	0	1	1	0	0	0	1	24	29	39	28	27	29	30	27	11	11	11	13	11	16	9	9	1	1	0	2	0	3	0	2
28039	718	11	12	4	2	7	3	2	5	3	4	2	2	2	2	1	2	0	3	0	2	0	58	58	77	64	65	62	67	62	19	16	20	19	18	16	12	13	0	1	1	0	0	1	0	0
28040	1447	23	22	9	5	15	9	7	9	8	2	4	3	2	3	1	3	5	6	3	1	2	108	104	147	126	130	130	129	128	36	36	34	30	42	40	32	35	2	0	4	3	3	4	1	1
28041	870	23	13	8	8	12	9	8	7	3	8	3	3	5	1	2	5	3	6	4	0	3	56	59	80	69	74	67	74	69	26	23	21	19	21	24	19	25	0	4	0	2	1	2	0	1
28042	981	11	10	6	2	8	11	5	9	3	6	1	1	2	1	0	1	7	3	1	2	0	80	87	104	87	91	83	95	84	29	20	16	18	25	23	21	21	2	2	0	3	0	0	0	0
28043	1241	31	26	14	10	20	16	9	15	14	7	9	4	5	2	5	1	4	7	3	2	4	97	95	121	101	110	106	101	91	31	28	25	17	25	26	26	19	3	4	1	1	0	3	1	1
28044	874	16	14	5	1	4	5	4	4	5	7	1	2	3	0	3	1	3	3	1	1	3	67	78	92	74	80	70	76	74	24	22	20	18	19	17	24	18	1	1	6	1	1	3	0	2
28045	1476	23	19	21	18	16	18	22	21	5	6	4	1	4	4	1	7	9	4	6	3	5	55	69	86	84	85	83	85	82	81	83	79	78	79	75	71	71	4	2	2	1	1	2	1	0
28046	2536	22	23	25	32	21	29	29	20	10	17	9	6	10	5	6	15	8	8	7	9	8	85	100	109	100	113	102	105	105	190	177	171	162	172	183	163	153	4	4	4	3	3	4	2	3
29001	2052	41	19	18	21	21	19	15	20	9	9	9	3	9	3	6	7	10	6	5	8	3	124	148	159	145	154	133	158	133	83	78	76	69	74	80	73	69	6	3	3	4	4	8	4	3
29002	1833	38	17	6	7	11	9	5	11	15	9	7	9	3	4	3	7	8	7	3	3	5	125	152	194	149	170	152	190	148	52	45	36	34	46	40	44	39	6	7	3	3	0	6	2	3
29003	1490	38	17	21	10	19	12	9	14	10	7	8	3	8	3	3	5	7	4	3	2	3	103	130	156	129	129	122	141	118	36	32	24	27	31	28	30	27	2	1	1	2	3	7	1	4
29004	1759	43	24	11	9	19	9	10	14	7	12	8	5	3	2	5	5	11	6	2	3	3	110	110	183	134	145	139	150	124	65	55	53	46	53	55	54	46	6	5	5	3	1	2	3	1
29005	911	22	22	9	7	8	12	6	10	6	7	2	4	6	4	8	4	6	5	1	3	2	49	65	83	57	59	56	74	59	36	29	27	26	33	31	29	30	1	1	4	0	1	2	2	3
29006	1068	22	13	7	7	11	10	5	10	8	6	5	1	5	1	4	5	5	2	1	1	6	71	84	104	92	95	90	99	76	26	26	24	25	28	29	27	25	2	2	0	1	1	4	0	2
29007	1695	38	21	16	10	19	12	7	17	3	7	5	1	5	1	5	8	5	5	2	2	4	88	113	152	133	134	125	143	120	71	62	58	52	65	65	55	57	0	3	1	0	2	2	1	0
29008	1136	29	21	7	8	16	7	5	9	9	8	9	3	4	1	2	4	10	4	2	2	3	72	81	114	85	96	78	104	82	40	38	25	30	28	29	26	25	2	5	1	3	2	2	2	3
29009	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29010	2318	55	22	22	18	20	24	14	12	11	10	6	7	13	5	14	7	13	10	8	12	8	125	152	203	183	186	179	189	176	83	87	69	69	76	75	61	49	7	9	6	4	9	7	2	1
29011	693	23	13	9	6	9	9	6	8	2	6	3	0	5	2	3	1	4	3	0	1	1	42	58	74	61	62	58	61	55	15	13	11	11	15	15	15	12	0	0	0	0	0	1	0	0
29012	1875	46	23	19	13	21	16	12	21	10	11	7	4	6	1	3	3	1	0	3	4	4	110	117	190	152	165	151	172	149	62	55	53	48	58	56	45	45	3	5	1	1	3	2	3	1
29013	1444	42	20	18	12	18	12	9	17	9	9	9	7	9	5	4	6	9	2	2	3	1	84	105	153	111	122	101	127	101	49	40	32	34	42	39	35	32	1	0	4	0	2	3	1	3
29014	1425	35	15	7	9	14	7	6	8	13	12	7	8	9	5	3	2	8	6	2	2	2	95	116	151	123	131	111	140	107	41	32	26	28	33	33	25	30	3	2	3	3	3	4	1	4
29015	1732	45	27	17	9	15	9	7	11	16	3	13	6	4	0	2	4	1	0	0	2	1	105	121	195	169	174	161	171	158	44	42	31	33	42	35	30	25	1	0	0	1	0	0	0	2
