Precinct	total_votes	votes|Aaron M. Ortiz	votes|Alicia Elena Martinez
12020	21	10	11
14001	230	91	139
14002	288	199	89
14004	203	105	98
14005	306	205	101
14006	95	53	42
14007	270	175	95
14008	236	142	94
14009	289	125	164
14010	145	94	51
14012	196	115	81
14013	192	107	85
14014	228	163	65
14016	165	111	54
14017	194	131	63
14018	63	31	32
14019	162	117	45
14020	157	88	69
14021	162	122	40
14022	78	42	36
14023	150	63	87
14024	278	98	180
14025	129	94	35
14026	171	115	56
14027	231	156	75
14028	163	108	55
14029	199	151	48
14030	121	83	38
14031	133	96	37
15003	22	16	6
15004	212	123	89
15008	196	134	62
15009	46	24	22
15010	129	69	60
15011	123	68	55
15012	200	114	86
15016	234	103	131
15019	184	103	81
16001	193	127	66
16002	46	20	26
16007	143	92	51
16011	143	76	67
16013	142	77	65
16017	120	59	61
16023	158	85	73
16032	169	85	84
16035	200	98	102
17001	141	77	64
17007	170	73	97
17012	242	148	94
17014	146	76	70
17016	163	86	77
17030	49	28	21
22001	122	82	40
22002	252	122	130
22008	266	176	90
22012	174	114	60
22023	263	203	60
23003	159	73	86
23006	30	20	10
23012	15	6	9
23014	165	75	90
23017	96	49	47
23019	177	88	89
23020	4	2	2
23022	124	55	69
23024	83	50	33
23025	140	69	71
23026	73	49	24
23031	178	92	86
23037	66	29	37
Stickney 10	272	138	134
