Precinct	total_votes	votes|Froylan ''Froy'' Jimenez	votes|Antonio ''Tony'' Munoz
11001	300	129	171
11003	261	167	94
11004	205	89	116
11005	368	210	158
11008	230	98	132
11009	229	94	135
11010	238	110	128
11011	238	108	130
11014	141	48	93
11015	97	51	46
11016	164	54	110
11017	367	167	200
11018	220	73	147
11019	343	197	146
11020	176	68	108
11022	340	173	167
11023	175	46	129
11025	322	126	196
11026	308	138	170
11027	91	57	34
11030	132	47	85
11036	96	38	58
11037	70	20	50
11038	124	62	62
12001	281	77	204
12003	365	139	226
12004	298	113	185
12005	220	80	140
12006	12	3	9
12008	275	98	177
12009	210	109	101
12013	186	46	140
12017	103	31	72
12019	236	94	142
12020	21	7	14
12021	213	84	129
12023	291	115	176
14001	218	73	145
14002	281	107	174
14004	204	81	123
14005	288	76	212
14006	93	14	79
14007	264	109	155
14008	226	76	150
14009	278	96	182
14010	144	52	92
14012	192	67	125
14013	190	74	116
14014	224	56	168
14016	165	39	126
14017	190	49	141
14018	61	23	38
14019	153	32	121
14020	150	49	101
14021	147	52	95
14022	78	21	57
14023	145	45	100
14024	260	103	157
14025	117	34	83
14026	172	52	120
14027	222	72	150
14028	158	70	88
14029	186	47	139
14030	112	24	88
14031	127	35	92
15003	22	6	16
15004	197	57	140
15005	125	42	83
15008	195	48	147
15009	232	65	167
15010	126	39	87
15011	121	26	95
15012	201	55	146
15013	146	35	111
15014	156	55	101
15015	163	45	118
15016	226	44	182
15019	181	52	129
16001	194	61	133
16002	43	10	33
16007	137	24	113
16011	143	41	102
16013	142	37	105
16017	119	36	83
16023	152	39	113
16032	171	40	131
16035	201	57	144
17001	141	50	91
17007	170	51	119
17012	235	66	169
17014	145	48	97
17016	162	42	120
17030	46	16	30
20020	40	10	30
22001	117	39	78
22002	235	89	146
22008	251	70	181
22012	162	60	102
22023	248	51	197
23003	162	57	105
23006	25	16	9
23012	15	5	10
23014	165	45	120
23017	92	25	67
23019	172	47	125
23020	4	3	1
23022	122	50	72
23024	75	26	49
23025	138	47	91
23026	72	27	45
23031	172	49	123
23037	65	25	40
25001	235	113	122
25002	336	179	157
25005	296	112	184
25006	85	35	50
25007	279	151	128
25008	311	139	172
25009	256	128	128
25011	312	135	177
25012	288	167	121
25013	307	144	163
25014	165	65	100
25015	235	110	125
25017	271	130	141
25018	192	63	129
25019	297	144	153
25022	261	149	112
25023	329	191	138
25024	293	150	143
25026	298	151	147
25027	29	18	11
25028	313	184	129
25030	283	132	151
25032	219	87	132
28019	1	0	1
Stickney 10	270	65	205
