Precinct	total_votes	votes|Roberto Maldonado	votes|Angee Gonzalez Rodriguez
26001	209	80	129
26002	175	67	108
26003	213	86	127
26004	122	72	50
26005	205	85	120
26006	169	66	103
26007	217	98	119
26008	113	55	58
26009	158	76	82
26010	166	77	89
26011	192	99	93
26012	218	86	132
26013	106	52	54
26014	152	74	78
26015	97	60	37
26016	81	57	24
26017	158	59	99
26018	98	59	39
26019	116	61	55
26020	201	98	103
26021	230	107	123
26022	90	62	28
26023	156	104	52
26024	121	67	54
26025	152	88	64
26026	123	43	80
26027	192	85	107
26028	258	91	167
26029	88	37	51
26030	150	64	86
26031	98	51	47
26032	213	64	149
26033	234	95	139
26034	174	90	84
26035	180	89	91
26036	181	78	103
26037	200	91	109
26038	75	43	32
26039	214	95	119
26040	151	77	74
26041	207	81	126
26042	155	72	83
26043	113	61	52
26044	74	47	27
26045	85	47	38
26046	131	62	69
26047	105	48	57
26048	186	66	120
26049	93	55	38
