Precinct	total_votes	votes|Iris Y. Martinez	votes|Aaron Goldstein
33001	351	231	120
33002	387	261	126
33003	459	257	202
33004	437	291	146
33005	237	160	77
33006	281	191	90
33007	329	212	117
33008	497	192	305
33009	315	206	109
33010	282	134	148
33011	324	209	115
33012	290	195	95
33013	303	200	103
33014	129	83	46
33015	295	199	96
33016	416	286	130
33017	309	194	115
33018	375	258	117
33019	341	233	108
33020	407	193	214
33021	321	193	128
33022	308	175	133
33023	356	193	163
33024	466	180	286
33025	414	211	203
33026	226	165	61
33027	348	228	120
33028	287	182	105
