Precinct	total_votes	votes|Joe Cook	votes|William ''Bill'' Kilroy
41001	216	97	119
41002	219	104	115
41003	196	70	126
41004	249	146	103
41005	257	138	119
41006	370	330	40
41007	227	125	102
41008	222	108	114
41009	190	135	55
41010	300	162	138
41011	261	126	135
41012	189	115	74
41013	225	102	123
41014	324	271	53
41015	279	163	116
41016	224	92	132
41017	206	118	88
41018	205	114	91
41019	262	184	78
41020	156	80	76
41021	232	101	131
41022	273	130	143
41023	210	76	134
41024	166	104	62
41025	112	77	35
41026	231	123	108
41027	120	73	47
41028	147	102	45
41029	104	78	26
41030	181	90	91
41031	214	94	120
41032	200	103	97
41033	192	84	108
41034	214	105	109
41035	285	145	140
41036	214	114	100
41037	254	137	117
41038	190	104	86
41039	296	212	84
41040	224	116	108
41041	206	81	125
41042	215	117	98
41043	211	84	127
41044	241	107	134
41045	218	101	117
41046	287	141	146
41047	284	229	55
