Precinct	total_votes	votes|Ellen M. Hill	votes|James ''Jim'' Gardiner
45001	250	197	53
45002	254	179	75
45003	280	189	91
45004	345	237	108
45005	311	187	124
45006	410	291	119
45007	402	243	159
45008	246	164	82
45009	234	122	112
45010	254	122	132
45011	191	125	66
45012	205	125	80
45013	256	165	91
45014	343	183	160
45015	359	198	161
45016	213	114	99
45017	262	136	126
45018	225	81	144
45019	117	61	56
45020	151	69	82
45021	201	81	120
45022	157	63	94
45023	185	73	112
45024	160	49	111
45025	160	47	113
45026	101	35	66
45027	209	87	122
45028	145	71	74
45029	117	48	69
45030	199	112	87
45031	208	121	87
45032	219	102	117
45033	182	90	92
45034	268	117	151
45035	286	136	150
45036	284	111	173
45037	205	81	124
45038	227	86	141
45039	209	80	129
45040	187	57	130
45041	231	68	163
45042	265	67	198
45043	220	42	178
45044	281	68	213
45045	149	40	109
45046	151	43	108
45047	154	51	103
45048	158	53	105
