Precinct	total_votes	votes|Dan Patlak	votes|Marty Stack
19001	420	184	236
19002	447	95	352
19003	384	236	148
19004	549	306	243
19006	254	136	118
19008	528	306	222
19009	367	176	191
19011	491	302	189
19012	405	243	162
19015	637	382	255
19016	488	272	216
19019	361	110	251
19021	433	232	201
19022	486	179	307
19024	356	219	137
19029	64	33	31
19030	450	246	204
19033	490	288	202
19039	218	20	198
19041	457	255	202
19044	535	325	210
19045	468	222	246
19047	663	121	542
19051	525	205	320
19053	435	176	259
19054	393	239	154
19055	419	244	175
41003	433	190	243
41005	562	289	273
41007	539	311	228
41008	485	275	210
41011	456	255	201
41013	581	335	246
41015	623	323	300
41016	277	135	142
41017	496	250	246
41018	437	233	204
41020	399	206	193
41021	463	219	244
41022	484	275	209
41023	530	323	207
41025	467	180	287
41026	472	248	224
41027	245	118	127
41028	576	222	354
41029	438	198	240
41030	488	240	248
41031	507	265	242
41033	471	237	234
41034	409	220	189
41035	537	312	225
41036	486	260	226
41037	548	292	256
41038	456	223	233
41041	508	276	232
41043	519	269	250
41045	472	234	238
41046	504	276	228
45045	327	171	156
45046	371	185	186
45047	343	159	184
45048	391	210	181
