Precinct	total_votes	votes|Theresa Mah	votes|Alexander ''Alex'' Acevedo
11001	353	202	151
11003	324	153	171
11004	347	181	166
11005	467	277	190
11008	363	189	174
11009	335	179	156
11010	365	226	139
11011	332	177	155
11014	226	165	61
11015	165	104	61
11016	275	154	121
11017	402	226	176
11018	322	177	145
11019	433	233	200
11020	236	104	132
11022	471	247	224
11023	215	120	95
11025	368	171	197
11026	425	200	225
11027	165	108	57
11030	232	167	65
11036	154	99	55
11037	168	146	22
11038	184	81	103
12001	351	205	146
12003	412	208	204
12004	372	181	191
12005	356	239	117
12006	10	3	7
12008	425	214	211
12009	310	156	154
12013	334	151	183
12017	138	60	78
12019	346	182	164
12021	338	170	168
12023	357	202	155
15005	260	94	166
15009	314	108	206
15013	132	44	88
15014	234	79	155
15015	260	80	180
20020	3	1	2
25001	357	125	232
25002	404	192	212
25005	404	147	257
25006	188	162	26
25007	380	189	191
25008	425	186	239
25009	431	189	242
25011	429	194	235
25012	355	131	224
25013	434	244	190
25014	318	264	54
25015	380	134	246
25017	380	180	200
25018	441	391	50
25019	450	253	197
25022	388	172	216
25023	451	195	256
25024	409	181	228
25026	409	142	267
25027	27	15	12
25028	426	188	238
25030	394	187	207
25032	349	188	161
28019	41	20	21
