Precinct	total_votes	votes|Harish I. Patel	votes|Jaime M. Andrade, Jr.
01041	18	13	5
01042	0	0	0
30003	234	132	102
30007	18	7	11
30008	345	153	192
30015	285	113	172
30018	172	90	82
30022	412	189	223
30023	19	5	14
30024	227	117	110
30025	129	57	72
30028	324	101	223
30032	231	108	123
32001	27	11	16
32003	237	147	90
32017	425	180	245
32026	189	104	85
32028	182	87	95
32043	346	206	140
33001	436	156	280
33002	216	73	143
33003	344	166	178
33004	488	167	321
33005	180	63	117
33006	392	70	322
33007	319	149	170
33009	387	126	261
33011	432	151	281
33012	417	106	311
33013	420	178	242
33014	209	94	115
33015	474	182	292
33016	559	156	403
33017	433	135	298
33018	313	161	152
33019	396	171	225
33020	436	196	240
33021	409	130	279
33022	433	105	328
33025	468	176	292
33026	324	181	143
33027	372	195	177
33028	377	201	176
35001	307	131	176
35004	334	135	199
35005	314	141	173
35006	310	141	169
35009	327	113	214
35020	302	95	207
35022	369	139	230
35023	360	109	251
35024	318	134	184
35026	298	131	167
35027	316	129	187
35029	277	97	180
35030	337	117	220
35031	378	153	225
39003	328	185	143
39006	2	1	1
39012	220	128	92
39025	183	94	89
39028	407	170	237
39031	249	109	140
39034	315	113	202
45001	282	110	172
45002	317	158	159
45003	305	108	197
45004	377	152	225
45005	304	123	181
45006	368	151	217
45007	425	129	296
45008	15	8	7
