Precinct	total_votes	votes|Kenneth ''Ken'' Dunkin	votes|Juliana Stratton
02027	64	24	40
02029	76	20	56
02032	204	68	136
02036	212	66	146
02038	151	51	100
02039	173	58	115
02040	223	70	153
02041	173	53	120
02042	144	55	89
02043	272	93	179
02045	293	94	199
03001	438	179	259
03002	536	143	393
03003	22	15	7
03006	346	82	264
03007	324	111	213
03008	438	204	234
03009	446	147	299
03011	259	89	170
03012	304	106	198
03014	362	93	269
03015	467	184	283
03016	436	120	316
03017	416	155	261
03018	242	76	166
03020	468	166	302
03021	311	65	246
03022	426	93	333
03023	413	193	220
03024	393	161	232
03025	433	105	328
03027	150	30	120
03028	303	105	198
03029	382	155	227
03031	240	73	167
03032	369	93	276
03033	367	79	288
03034	436	117	319
03035	207	63	144
03036	229	84	145
03037	387	154	233
03038	374	107	267
03039	376	80	296
03040	435	152	283
03041	213	62	151
04002	381	89	292
04006	395	108	287
04011	105	22	83
04014	446	126	320
04016	320	77	243
04021	201	61	140
04025	377	94	283
04036	256	76	180
04038	152	41	111
05002	372	115	257
05012	341	117	224
05013	166	79	87
05030	180	57	123
06007	30	16	14
07001	27	5	22
07003	103	46	57
08001	286	99	187
08002	334	108	226
08009	264	69	195
08013	426	137	289
08016	152	67	85
08020	405	112	293
08021	467	111	356
08026	217	59	158
08028	378	105	273
08043	47	25	22
08054	158	52	106
08055	294	86	208
20001	334	121	213
20003	284	114	170
20007	363	129	234
20008	293	102	191
20010	291	86	205
20011	459	184	275
20012	253	110	143
20014	211	75	136
20018	289	99	190
20019	395	151	244
20023	377	160	217
20027	5	1	4
20030	180	46	134
20031	452	177	275
20033	214	82	132
20035	350	143	207
20037	140	56	84
20039	9	1	8
27038	207	46	161
42010	224	51	173
42014	157	56	101
42015	39	10	29
42019	175	45	130
42020	202	74	128
42022	132	34	98
42023	202	59	143
42025	233	65	168
42027	245	69	176
42032	201	55	146
42033	332	88	244
42039	229	67	162
42040	77	15	62
42042	323	77	246
