Precinct	total_votes	votes|Patricia Van Pelt	votes|Robert ''Bob'' Fioretti
01008	196	126	70
01011	53	42	11
01012	324	179	145
01021	9	4	5
01032	78	45	33
01033	24	11	13
01037	69	37	32
02001	211	141	70
02006	319	188	131
02007	273	158	115
02008	315	193	122
02009	188	121	67
02012	293	177	116
02015	250	146	104
02017	174	112	62
02020	192	139	53
02025	286	167	119
02041	16	10	6
02046	145	85	60
11002	50	22	28
11006	352	171	181
11007	501	274	227
11033	286	140	146
12010	69	42	27
22019	155	128	27
22021	377	300	77
24001	279	221	58
24002	296	240	56
24003	284	230	54
24004	296	238	58
24005	176	140	36
24006	311	242	69
24007	167	104	63
24008	153	110	43
24009	312	231	81
24010	172	136	36
24011	340	259	81
24012	201	160	41
24013	170	135	35
24014	280	223	57
24015	174	130	44
24016	43	30	13
24017	264	212	52
24018	340	261	79
24019	350	278	72
24020	232	183	49
24021	165	138	27
24022	409	329	80
24023	275	229	46
24024	366	294	72
24025	278	216	62
24026	392	295	97
24027	319	240	79
24028	230	182	48
24029	215	171	44
24030	163	131	32
24031	336	261	75
24032	171	139	32
24033	178	146	32
24034	258	198	60
24035	287	211	76
24036	370	301	69
24037	184	161	23
24038	237	181	56
24039	324	249	75
24040	285	223	62
24041	221	186	35
25003	314	164	150
25004	324	168	156
25010	303	121	182
25016	265	120	145
25020	321	106	215
25025	280	120	160
25027	150	77	73
25029	295	158	137
25031	289	131	158
26004	56	42	14
26017	166	91	75
26019	70	55	15
26028	229	135	94
26046	145	93	52
27001	217	136	81
27002	319	166	153
27003	194	148	46
27004	198	108	90
27005	211	155	56
27006	227	154	73
27008	270	201	69
27009	96	68	28
27010	375	207	168
27011	198	126	72
27013	289	229	60
27014	198	126	72
27015	210	171	39
27016	186	116	70
27017	335	186	149
27018	285	191	94
27019	211	174	37
27020	294	230	64
27021	184	127	57
27022	194	153	41
27023	259	204	55
27024	204	158	46
27025	270	149	121
27026	278	192	86
27027	328	236	92
27028	140	93	47
27029	253	194	59
27030	201	103	98
27031	255	193	62
27032	263	152	111
27033	255	162	93
27034	314	255	59
27035	232	148	84
27036	248	187	61
27037	285	232	53
27038	185	127	58
27039	264	163	101
27040	180	120	60
27041	315	192	123
27042	157	112	45
27043	299	170	129
27044	268	222	46
27045	326	169	157
27047	235	160	75
27048	354	275	79
27049	247	152	95
27050	319	191	128
28001	1	1	0
28002	279	216	63
28003	262	189	73
28004	202	94	108
28005	189	84	105
28006	152	60	92
28007	317	260	57
28008	171	81	90
28009	280	234	46
28010	341	125	216
28011	503	279	224
28013	282	237	45
28015	100	72	28
28016	200	161	39
28017	272	214	58
28018	229	108	121
28019	223	93	130
28020	267	197	70
28021	238	196	42
28022	247	179	68
28023	358	310	48
28024	267	208	59
28025	388	321	67
28026	317	243	74
28027	256	109	147
28028	293	123	170
28029	142	86	56
28030	48	36	12
28032	290	196	94
28033	344	284	60
28034	526	364	162
28035	336	239	97
28036	177	135	42
28037	418	339	79
28038	154	131	23
28040	400	312	88
28042	113	88	25
28044	207	168	39
28045	197	93	104
28046	445	223	222
29006	8	7	1
32002	247	159	88
32004	280	174	106
32005	257	160	97
32006	267	158	109
32029	263	180	83
32031	281	159	122
32032	275	167	108
32033	131	78	53
32034	245	149	96
32035	255	134	121
32036	274	195	79
32037	111	74	37
37002	200	158	42
37003	266	215	51
37004	263	193	70
37007	221	176	45
37008	235	173	62
37011	0	0	0
37012	173	126	47
37013	241	199	42
37014	3	3	0
37019	255	198	57
37020	0	0	0
37021	261	194	67
37022	1	1	0
37027	1	1	0
37028	257	200	57
37030	119	85	34
42003	305	176	129
42009	1	1	0
42012	86	54	32
42016	260	153	107
42018	0	0	0
42021	61	33	28
42036	83	48	35
42041	71	42	29
43001	154	109	45
43003	254	148	106
43005	200	118	82
43007	185	107	78
43010	264	158	106
43011	188	100	88
43023	174	106	68
43045	172	100	72
