Precinct	total_votes	votes|Fred Carrizales	votes|Susan Sadlowski Garza
10001	266	103	163
10002	204	58	146
10003	232	70	162
10004	248	83	165
10005	178	52	126
10006	232	78	154
10007	192	51	141
10008	206	55	151
10009	223	66	157
10010	298	53	245
10011	347	69	278
10012	200	32	168
10013	330	121	209
10014	354	93	261
10015	563	167	396
10016	202	56	146
10017	275	75	200
10018	193	46	147
10019	267	53	214
10020	301	70	231
10021	311	87	224
10022	169	40	129
10023	306	61	245
10024	214	61	153
10025	95	35	60
10026	237	64	173
10027	264	79	185
10028	332	50	282
10029	273	56	217
10030	293	60	233
10031	226	45	181
10032	293	50	243
10033	192	37	155
10034	190	65	125
10035	278	58	220
10036	73	35	38
