Precinct	total_votes	votes|Ariel E. Reboyras	votes|Noe Favela
30001	310	211	99
30002	260	198	62
30003	214	134	80
30004	276	176	100
30005	211	146	65
30006	249	180	69
30007	305	193	112
30008	327	228	99
30009	239	187	52
30010	334	238	96
30011	268	188	80
30012	238	190	48
30013	230	160	70
30014	211	157	54
30015	260	196	64
30016	141	91	50
30017	261	190	71
30018	305	211	94
30019	314	226	88
30020	288	215	73
30021	181	121	60
30022	382	255	127
30023	302	207	95
30024	284	207	77
30025	329	241	88
30026	163	112	51
30027	184	118	66
30028	314	226	88
30029	173	116	57
30030	121	96	25
30031	185	113	72
30032	216	146	70
