Precinct	total_votes	votes|Robert Murphy	votes|Patrick Molloy
39001	262	147	115
39002	232	63	169
39003	297	145	152
39004	233	121	112
39005	291	179	112
39006	273	141	132
39007	254	179	75
39008	361	119	242
39009	269	151	118
39010	149	107	42
39011	286	149	137
39012	339	218	121
39013	210	153	57
39014	219	123	96
39015	304	112	192
39016	200	88	112
39017	305	195	110
39018	278	176	102
39019	248	141	107
39020	260	130	130
39021	206	116	90
39022	224	128	96
39023	257	134	123
39024	303	145	158
39025	226	102	124
39026	225	119	106
39027	57	46	11
39028	351	223	128
39029	131	70	61
39030	326	233	93
39031	277	129	148
39032	197	92	105
39033	270	154	116
39034	253	121	132
39035	271	204	67
39036	83	41	42
39037	282	164	118
39038	147	70	77
39039	169	103	66
39040	217	79	138
39041	302	204	98
39042	317	136	181
39043	254	152	102
39044	225	134	91
39045	269	139	130
